word,total
#Cavs,609
the,381
LeBron,323
@JeopardySports:,222
is:,222
James?\xe2\x80\x9d\n#JeopardySports,222
\xe2\x80\x9cWho,222
https://t.co/m6479kIKHb',221
in,193
to,174
Game,150
a,142
for,94
Lue,93
@ChrisFedor:,87
are,86
On,82
Cavs,81
of,81
#pacers,79
after,78
and,77
have,76
is,75
I,64
#NBAPlayoffs,61
some,61
Ty,61
he,55
1,54
at,52
JAMES,51
so,49
Bron,48
his,47
@coolcam101:,46
if,46
let\xe2\x80\x99s,46
@ACwishtv:,44
here,44
-,43
locker,41
room,41
was,41
with,41
says,40
like,39
@SpinDavies:,38
,37
lineup,37
be,36
not,36
should,35
played,34
that,34
AmicoHoops:,33
Green,33
Dan,32
lost,32
we,31
this,30
about,29
Jeff,29
2,27
year,27
Asked,26
down,26
Oladipo,26
@AmicoHoops:,25
@TruWarier7:,25
"ago,",25
all,25
as,25
Gilbert,25
it,25
off,24
Pacers,24
&amp;,23
#ClevelandCavaliers,22
Cavaliers,22
loss,22
Signed,22
victor,22
you,22
""I",21
best,21
get,21
needs,21
owner,21
they,21
today,21
@SportsDen2016:,20
still,20
wanted,20
but,19
out,19
up,19
@mikepolkjr:,18
Jordan,18
last,18
No,18
play,18
Playoff,18
@FSIndiana:,17
@RuiterWrongFAN:,17
kick,17
more,17
once,17
One,17
see,17
Tyronn,17
what,17
win,17
@TomerAzarly:,16
back,16
looking,16
team,16
#Celtics,15
#LeBronJames,15
@GloballyCurry30:,15
another,15
don\'t,15
First,15
https://t.co/SimYnjBt4P',15
Korver,15
Mood,15
start,15
take,15
watched,15
Will,15
\xf0\x9f\x98\x86\xf0\x9f\x98\x86\xf0\x9f\x98\x86\n\n#DubNation,15
@KingJames,14
bunch,14
by,14
clank,14
has,14
he\xe2\x80\x99s,14
"idea,",14
My,14
really,14
said,14
Sunday,14
why,14
#nbaPlayoffs2018,13
@CavsNationNet:,13
@TickPick:,13
himself,13
hitting,13
https://t.co/IgtgDRjZ2z',13
just,13
night,13
scaries,13
Time,13
when,13
--,12
contemplating,12
did,12
Hood,12
Indiana,12
Jefferson,12
Kyle,12
NBA,12
now,12
Richard,12
SF,12
shows,12
#10/123,11
#Cavs',11
#limitededition,11
#NBA,11
16x20,11
Adidas,11
Authentic,11
changes,11
Charles,11
"Clarkson,",11
coach,11
fans,11
Former,11
gave,11
go,11
Jersey,11
know,11
Lance,11
Love,11
Oakley,11
only,11
Photo,11
playoffs,11
shot,11
worried,11
40,10
@The_SportsPaige:,10
Autographed,10
beat,10
can't,10
Coming,10
episode,10
from,10
hit,10
look,10
make,10
need,10
practice,10
Rodney,10
talk,10
too,10
#Jazz,9
#LeBron,9
10,9
@923TheFan:,9
an,9
Can,9
doing,9
going,9
how,9
