ID,Artist,Created_Time,User_ID,Message,Like,Share,Commite,Fan,Tag
1,Adele, 2017-06-07T132709+0000,"'id': '9770929278_10155065743629279',","'message': 'Vote x'},",135946,22423, 25318),64934259,tag:
2,Adele, 2017-05-05T221834+0000,"'id': '9770929278_10154955256819279',","'message': 'Nearly 30! Thanks for the well wishes. See you soon x'},",35986,1989, 1313),64934259,tag:
3,Adele, 2017-03-22T091625+0000,"'id': '9770929278_10154820330139279',","'message': '#W4Water 1.5 million children die every year due to water related diseases. Pls support @drop4drop with their mission to end the water crisis ??'},",178890,4749, 7325),64934259,tag: #W4Water
4,Adele, 2017-02-27T040504+0000,"'id': '9770929278_10154753708064279',","'message': 'See you tomorrow Perth X'},",96873,2880, 2028),64934259,tag:
5,Adele, 2017-02-24T090341+0000,"'id': '9770929278_10154746257104279',","'message': ""This fine young man's album is out today. Good luck darling Stormzy  ?? www.stormzy.com""},",80180,3746, 3917),64934259,tag:
6,Adele, 2016-12-02T111521+0000,"'id': '9770929278_10154482627934279',","'message': 'Due to phenomenal demand, Adele is delighted to confirm two additional and final concerts at Wembley Stadium on 28th June and 2nd July 2017. For more information visit https://live.adele.com.'},",24683,395, 652),64934259,tag:
7,Adele, 2016-12-02T100001+0000,"'id': '9770929278_10154482479944279',","'message': ""Tickets on sale now for Adele's world tour finale at Wembley Stadium on 29 June and 1 July 2017.\nTicket details available from  http://live.adele.com""},",203605,5173, 4913),64934259,tag:
8,Adele, 2016-11-23T100045+0000,"'id': '9770929278_10154458407589279',","'message': 'For further details please go to http://live.adele.com'},",77002,4511, 6792),64934259,tag:
9,Adele, 2016-11-20T230020+0000,"'id': '9770929278_10154451067169279',","'message': 'Tickets for Adele’s 2017 Australian Tour go on sale today. First up, Melbourne, which is on sale now. For tickets please visit adele.com/live \n\nMelbourne - tickets available from 10am local time\nBrisbane - tickets available from 10am local time\nSydney - tickets available from 12pm local time\nPerth - tickets available from 10am local time\nAdelaide - tickets available from 2pm local time'},",50299,2631, 3644),64934259,tag:
10,Adele, 2016-11-17T180205+0000,"'id': '9770929278_10154440136509279',","'message': 'For further details go to http://adele.com/live'},",110577,11479, 8311),64934259,tag:
