Name,id,likes,date,retweets,posts,content_post_number
FPSheffield,112142573451651,0,4/25/2019 14:48,0,"@FPSheffield @fpinternational NOW IN STORE!!!
#Pokemon TCG: Detective #Pikachu Collector Treasure Chest.
This pack… https://t.co/JXHfeLecBG",1
chocolat373love,112142572708831,0,4/25/2019 14:48,164,"RT @oricon: 竹内涼真、ハリウッド俳優を英語でお出迎え　歌舞伎町で人生初カーペット

#竹内涼真 #ライアン・レイノルズ #映画 #ピカチュウ #pikachu #pokemon
@takeuchi_ryoma https://t.co/GutJn4kuMI",2
chocolat373love,112142570729533,0,4/25/2019 14:48,37,"RT @oricon: 【動画】竹内涼真、ハリウッド俳優を英語でお出迎え　歌舞伎町で人生初カーペット
https://t.co/lRPFFvHNge

#竹内涼真 #ライアン・レイノルズ #映画 #ピカチュウ #pikachu #pokemon
@takeuchi_ryoma…",3
TOONADOcom,112142544177490,0,4/25/2019 14:47,0,The Highly Anticipated DETECTIVE PIKACHU Gets A New Behind The Scenes Featurette #DetectivePikachu #Pokemon… https://t.co/rHLfM9F53x,4
MieSorasanporyo,112142426137616,0,4/25/2019 14:42,164,"RT @oricon: 竹内涼真、ハリウッド俳優を英語でお出迎え　歌舞伎町で人生初カーペット

#竹内涼真 #ライアン・レイノルズ #映画 #ピカチュウ #pikachu #pokemon
@takeuchi_ryoma https://t.co/GutJn4kuMI",5
min_zun,112142125836368,0,4/25/2019 14:30,2,"RT @Buguwa: I'm trying a new technique :D

#pokemon #pikachu #squirtle #charmander #bulbasaur #gamefreak #nintendo #water #grass #fire #ele…",6
r_k_y_261212,112142081210216,0,4/25/2019 14:28,164,"RT @oricon: 竹内涼真、ハリウッド俳優を英語でお出迎え　歌舞伎町で人生初カーペット

#竹内涼真 #ライアン・レイノルズ #映画 #ピカチュウ #pikachu #pokemon
@takeuchi_ryoma https://t.co/GutJn4kuMI",7
pemos2603,112142054110396,0,4/25/2019 14:27,164,"RT @oricon: 竹内涼真、ハリウッド俳優を英語でお出迎え　歌舞伎町で人生初カーペット

#竹内涼真 #ライアン・レイノルズ #映画 #ピカチュウ #pikachu #pokemon
@takeuchi_ryoma https://t.co/GutJn4kuMI",8
Tanatosup,112142050394243,0,4/25/2019 14:27,164,"RT @oricon: 竹内涼真、ハリウッド俳優を英語でお出迎え　歌舞伎町で人生初カーペット

#竹内涼真 #ライアン・レイノルズ #映画 #ピカチュウ #pikachu #pokemon
@takeuchi_ryoma https://t.co/GutJn4kuMI",9
maximumeast,112142041687289,0,4/25/2019 14:27,164,"RT @oricon: 竹内涼真、ハリウッド俳優を英語でお出迎え　歌舞伎町で人生初カーペット

#竹内涼真 #ライアン・レイノルズ #映画 #ピカチュウ #pikachu #pokemon
@takeuchi_ryoma https://t.co/GutJn4kuMI",10
aimiyarashi,112141931488665,0,4/25/2019 14:22,164,"RT @oricon: 竹内涼真、ハリウッド俳優を英語でお出迎え　歌舞伎町で人生初カーペット

#竹内涼真 #ライアン・レイノルズ #映画 #ピカチュウ #pikachu #pokemon
@takeuchi_ryoma https://t.co/GutJn4kuMI",11
eric_skavinsk,112141927074179,0,4/25/2019 14:22,0,"Projeto disponível.
Orçamentos: (11)9.9377-6985
Instagram: @skavinsk 
#Pokemon #pikachu #geek #nerd #tatuagem https://t.co/613SnxNSWN",12
Rapun_saki_1128,112141795130162,0,4/25/2019 14:17,164,"RT @oricon: 竹内涼真、ハリウッド俳優を英語でお出迎え　歌舞伎町で人生初カーペット

#竹内涼真 #ライアン・レイノルズ #映画 #ピカチュウ #pikachu #pokemon
@takeuchi_ryoma https://t.co/GutJn4kuMI",13
msdoxo,112141794129417,2,4/25/2019 14:17,0,Pika pika ⚡️#pokemon #handpainted #Pikachu #ash #art #anime #paint #fashion https://t.co/4rEpDJhJ0y,14
