,delta,deltaSummary,description,exploreUrl,hotnessColor,hotnessLevel,idForTracking,isNew,peakRankSummary,shareUrl,timePeriodsInChartSummary,title,titleLength,titleLinkUrl,trafficSummary,twitterShareUrlTitle,time
0,0.0,<b>Same rank</b> as last month,"{'description': 'LeBron Raymone James Sr. is an American professional basketball player for the Cleveland Cavaliers of the National Basketball Association...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/LeBron_James'}",/trends/explore?q=/m/01jz6d&date=2018-2-1+2018-3-1&geo=US,#d04108,5,LeBron James,False,Peaked at <b>#1</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201802&geo=US&cat&mid=/m/01jz6d,<b>171 months</b> in top 10,LeBron James,12,//www.google.com/search?q=LeBron+James,100,LeBron James #1 in Google Trends Basketball players chart,201802
1,0.0,<b>Same rank</b> as last month,"{'description': 'Wardell Stephen Curry II is an American professional basketball player for the Golden State Warriors of the National...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Stephen_Curry'}",/trends/explore?q=/m/0dw15r&date=2018-2-1+2018-3-1&geo=US,#f0a049,2,Stephen Curry,False,Peaked at <b>#1</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201802&geo=US&cat&mid=/m/0dw15r,<b>44 months</b> in top 10,Stephen Curry,13,//www.google.com/search?q=Stephen+Curry,39,Stephen Curry #2 in Google Trends Basketball players chart,201802
2,1.0,<b>+1</b> since last month,"{'description': 'Michael Jeffrey Jordan, also known by his initials, MJ, is an American retired professional basketball player who is...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Michael_Jordan'}",/trends/explore?q=/m/054c1&date=2018-2-1+2018-3-1&geo=US,#f0a049,2,Michael Jordan,False,Peaked at <b>#1</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201802&geo=US&cat&mid=/m/054c1,<b>171 months</b> in top 10,Michael Jordan,14,//www.google.com/search?q=Michael+Jordan,37,Michael Jordan #3 in Google Trends Basketball players chart,201802
3,5.0,<b>+5</b> since last month,"{'description': 'Isaiah Jamar Thomas is an American professional basketball player for the Los Angeles Lakers of the National Basketball Association...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Isaiah_Thomas_(basketball)'}",/trends/explore?q=/m/05f7g9d&date=2018-2-1+2018-3-1&geo=US,#f0a049,2,Isaiah Thomas,False,Peaked at <b>#3</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201802&geo=US&cat&mid=/m/05f7g9d,<b>5 months</b> in top 10,Isaiah Thomas,13,//www.google.com/search?q=Isaiah+Thomas,31,Isaiah Thomas #4 in Google Trends Basketball players chart,201802
4,-2.0,<b>-2</b> since last month,"{'description': 'Lonzo Anderson Ball is an American professional basketball player for the Los Angeles Lakers of the National Basketball Association...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Lonzo_Ball'}",/trends/explore?q=Lonzo+Ball&date=2018-2-1+2018-3-1&geo=US,#f0a049,2,Lonzo Ball,False,Peaked at <b>#2</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201802&geo=US&cat&mid=/g/11cm9wsrpr,<b>5 months</b> in top 10,Lonzo Ball,10,//www.google.com/search?q=Lonzo+Ball,30,Lonzo Ball #5 in Google Trends Basketball players chart,201802
5,,<b>New</b> in chart,"{'description': 'Dwyane Tyrone Wade Jr. is an American professional basketball player for the Miami Heat of the National Basketball Association...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Dwyane_Wade'}",/trends/explore?q=/m/03l295&date=2018-2-1+2018-3-1&geo=US,#f0a049,2,Dwyane Wade,True,Peaked at <b>#2</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201802&geo=US&cat&mid=/m/03l295,<b>95 months</b> in top 10,Dwyane Wade,11,//www.google.com/search?q=Dwyane+Wade,29,Dwyane Wade #6 in Google Trends Basketball players chart,201802
6,1.0,<b>+1</b> since last month,"{'description': 'Shaquille Rashaun O\'Neal, nicknamed ""Shaq"", is an American retired professional basketball player currently serving as a...', 'source': 'Wikipedia', 'sourceUrl': ""http://en.wikipedia.org/wiki/Shaquille_O'Neal""}",/trends/explore?q=/m/012xdf&date=2018-2-1+2018-3-1&geo=US,#f0a049,2,Shaquille O'Neal,False,Peaked at <b>#2</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201802&geo=US&cat&mid=/m/012xdf,<b>120 months</b> in top 10,Shaquille O'Neal,16,//www.google.com/search?q=Shaquille+O'Neal,26,Shaquille O'Neal #7 in Google Trends Basketball players chart,201802
7,-1.0,<b>-1</b> since last month,"{'description': 'Kobe Bean Bryant is an American former professional basketball player. He played his entire 20-year career with the Los...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Kobe_Bryant'}",/trends/explore?q=/m/01kmd4&date=2018-2-1+2018-3-1&geo=US,#f0a049,2,Kobe Bryant,False,Peaked at <b>#1</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201802&geo=US&cat&mid=/m/01kmd4,<b>171 months</b> in top 10,Kobe Bryant,11,//www.google.com/search?q=Kobe+Bryant,25,Kobe Bryant #8 in Google Trends Basketball players chart,201802
8,-3.0,<b>-3</b> since last month,"{'description': 'Kyrie Andrew Irving is an American professional basketball player for the Boston Celtics of the National Basketball Association...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Kyrie_Irving'}",/trends/explore?q=/m/0ch52p4&date=2018-2-1+2018-3-1&geo=US,#f0a049,2,Kyrie Irving,False,Peaked at <b>#1</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201802&geo=US&cat&mid=/m/0ch52p4,<b>34 months</b> in top 10,Kyrie Irving,12,//www.google.com/search?q=Kyrie+Irving,22,Kyrie Irving #9 in Google Trends Basketball players chart,201802
9,,<b>New</b> in chart,"{'description': 'Derrick Martell Rose is an American professional basketball player for the Minnesota Timberwolves of the National Basketball Association...', 'source': 'Wikipedia', 'sourceUrl': 'http://en.wikipedia.org/wiki/Derrick_Rose'}",/trends/explore?q=/m/0283v6h&date=2018-2-1+2018-3-1&geo=US,#f0a049,2,Derrick Rose,True,Peaked at <b>#3</b> (monthly),https://trends.google.com/trends/topcharts?vm=chart&cid=basketball_players&date=201802&geo=US&cat&mid=/m/0283v6h,<b>59 months</b> in top 10,Derrick Rose,12,//www.google.com/search?q=Derrick+Rose,21,Derrick Rose #10 in Google Trends Basketball players chart,201802
