origin,misspell,ratio
gameofthrones,gameofthroneslive,87
gameofthrones, gameofthroneslive,84
gameofthrones,rideofthrones,77
gameofthrones,gameofthonres,92
gameofthrones,grumpofthrones,81
gameofthrones, grumpofthrones,79
gameofthrones, grumpofthrones,79
gameofthrones,gameofcones,83
gameofthrones,gameofcones,83
gameofthrones,gameofcones,83
gameofthrones,gameofcones,83
gameofthrones,gameofcones,83
gameofthrones,gameofcones,83
gameofthrones,season8gameofthrones,79
gameofthrones,gameofthronescast,87
got,gots8,44
got,gots7,44
got,gots7,44
got,gots7,44
got,gots7,44
got,gots7,44
got,gots7,44
got,got,38
got,gots7,44
got,gots7,44
got, got,35
got,gots7,44
got, got,35
got, got,35
got, got,35
got,gots7,44
got,gots7,44
got,gots7,44
got,gots7,44
got,gots7,44
got,gots7,44
got,gots7,44
got,gots7,44
got,gots7,44
got,gots7,44
got,gots7,44
got,gots7,44
got, got,35
got, got,35
got, got,35
got, got,35
got, got,35
got,gots7,44
got,mgot,35
got,gots7,44
got, mgot,33
got,gots7,44
got, got,35
got,ghost,44
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got, got,35
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got,got50,33
got, got,35
got, got,35
got, got,35
got, got,35
got, got,35
got, got,35
got,got,38
got,got,38
got,got,38
got,got,38
got,got,38
got, got,35
got,got,38
got, got,35
got, got,35
got, got,35
got, got,35
got, got,35
got, got,35
got,got,38
got, got,35
got, got,35
got, got,35
got, got,35
got, got,35
got, got,35
got, got,35
got, got,35
got, got,35
got,got,38
got,got,38
got,gots2,44
got,gots4,44
got,gots7,44
got,gots5,44
got,gots4,44
got,gots7,44
got,gots7,44
got,gots7,44
got,gots7,44
got,gots7,44
got,gots7,44
got,gots7,44
got,gots3,44
got,got,38
got,gots7,44
