"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"DDD","3D Systems Corporation","27.47","$3.05B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ddd",
"MMM","3M Company","162.52","$103.25B","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/mmm",
"WBAI","500.com Limited","10.42","$365.27M","2013","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/wbai",
"WUBA","58.com Inc.","51.49","$4.52B","2013","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/wuba",
"AHC","A.H. Belo Corporation","8.28","$179.93M","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/ahc",
"ATEN","A10 Networks, Inc.","4.33","$266.49M","2014","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/aten",
"AAC","AAC Holdings, Inc.","30.73","$669.51M","2014","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aac",
"AIR","AAR Corp.","30.95","$1.23B","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/air",
"AAN","Aaron&#39;s,  Inc.","27.52","$2B","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aan",
"ABB","ABB Ltd","21.38","$48.3B","n/a","Consumer Durables","Electrical Products","http://www.nasdaq.com/symbol/abb",
"ABT","Abbott Laboratories","45.89","$69.25B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abt",
"ABBV","AbbVie Inc.","57.1","$90.91B","2012","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abbv",
"ANF","Abercrombie & Fitch Company","22.15","$1.54B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/anf",
"GCH","Aberdeen Greater China Fund, Inc.","10.33","$95.03M","1992","n/a","n/a","http://www.nasdaq.com/symbol/gch",
"JEQ","Aberdeen Japan Equity Fund, Inc. ","8.06","$113.89M","1992","n/a","n/a","http://www.nasdaq.com/symbol/jeq",
"SGF","Aberdeen Singapore Fund, Inc.","11.42","$87.38M","1990","n/a","n/a","http://www.nasdaq.com/symbol/sgf",
"ABM","ABM Industries Incorporated","31.92","$1.79B","n/a","Finance","Diversified Commercial Services","http://www.nasdaq.com/symbol/abm",
"AKR","Acadia Realty Trust","34.75","$2.37B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/akr",
"ACN","Accenture plc.","93.56","$61.1B","2001","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/acn",
"ACCO","Acco Brands Corporation","8.09","$907.44M","n/a","Consumer Durables","Publishing","http://www.nasdaq.com/symbol/acco",
"ACW","Accuride Corporation New","4.9","$234.23M","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/acw",
"ACE","Ace Limited","110.99","$36.33B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ace",
"ATV","Acorn International, Inc.","0.84","$23.17M","2007","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/atv",
"ACT","Actavis, Inc.","296.43","$83.25B","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/act",
"ACT^A","Actavis, Inc.","1027.05","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/act^a",
"ATU","Actuant Corporation","24.01","$1.48B","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/atu",
"AYI","Acuity Brands Inc","168.09","$7.29B","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/ayi",
"ADX","Adams Diversified Equity Fund, Inc.","13.84","$1.29B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adx",
"PEO","Adams Natural Resources Fund, Inc.","23.15","$593.9M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/peo",
"AGRO","Adecoagro S.A.","10.16","$1.24B","2011","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/agro",
"ADPT","Adeptus Health Inc.","48.59","$1B","2014","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/adpt",
"ADT","ADT Corporation","41.66","$7.13B","n/a","Consumer Services","Diversified Commercial Services","http://www.nasdaq.com/symbol/adt",
"AAP","Advance Auto Parts Inc","143.75","$10.51B","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/aap",
"WMS","Advanced Drainage Systems, Inc.","29.01","$1.55B","2014","Capital Goods","Containers/Packaging","http://www.nasdaq.com/symbol/wms",
"ASX","Advanced Semiconductor Engineering, Inc.","7.13","$11.22B","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/asx",
"AAV","Advantage Oil & Gas Ltd","5.48","$933.28M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/aav",
"ATE","Advantest Corporation (Kabushiki Kaisha Advantest) ADS","12.55","$2.19B","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/ate",
"AVK","Advent Claymore Convertible Securities and Income Fund","17.12","$403.7M","2003","n/a","n/a","http://www.nasdaq.com/symbol/avk",
"AGC","Advent Claymore Convertible Securities and Income Fund II","6.69","$215.69M","2007","n/a","n/a","http://www.nasdaq.com/symbol/agc",
"LCM","Advent/Claymore Enhanced Growth & Income Fund","9.4","$127.87M","2005","n/a","n/a","http://www.nasdaq.com/symbol/lcm",
"ACM","AECOM","30.9","$4.8B","2007","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/acm",
"ANW","Aegean Marine Petroleum Network Inc.","14.27","$688.49M","2006","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/anw",
"AEB","Aegon NV","24.27","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeb",
"AED","Aegon NV","25.79","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aed",
"AEG","Aegon NV","7.98","$21.35B","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeg",
"AEH","Aegon NV","25.41","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeh",
"AEK","Aegon NV","28.39","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aek",
