topic_name,semantic information
Sports Fan,sportsfans
Spanish Language,spanish
Italian Language,italian
French Language,french
Photography,photo
Ceramic Arts,ceramic
Watching Movies,movies
Fashion Industry,fashion
Social Enterprise,sealliance
Educational Tutor,tutor
Chamber Music,chamber
Women's Social,women
Entertainment Industry,entertain
Sports and Recreation,sports
Language & Culture,language
Pets Birds,pets
Crafts for Men,men
Theater Industry,theaterind
Game Development,gamedev
Australian Culture,aussie
Digital Art,digitalart
Wine,wine
Industrial,industrial
Found Art,foundart
Dance Dance Revolution,ddr
Sport Bikes,sportbikes
American Sign Language,asl
Korean Language,korean
Russian Language,russian
Chamber Music,chamber
Education & Technology,edtech
Lesbian Literature,lesbianlit
New Age Literature,newagelit
Gay Parents,gayparents
Adult Entertainment Industry,adultent
Education,education
Card Games,cardgame
Sports Business,sportsbiz
Line Dancing,linedancing
Basque Language & Culture,basque
LGBT,lgbtfriends
Stay at Home Parents,sahp
Crafts,craftswap
Puerto Rican Culture,prculture
Greek Culture,greekculture
Celtic Culture,celticculture
Web Technology,web
Literature,literature
Games,games
Writing,writing
Ceramic Arts,ceramic
