0,use_id,from_user,text,time,user_lang,user_followers_count,retweet_count,user_friends_count,user_location,user_favorites,status_url,entities_str
1,9.88E+17,malcoem,"RT @breenatadder: Only in America: Friend insulted @luxslive cause of skin color; also hires #WhitePrivilege youth that think they're black &amp; OPENLY USE THE N WORD.

This is an employee. RT if this is NOT OK w you.

#StarbucksBoycott #Starbucks #Starbucksprotest #BLM #BlackLivesMatter @LewisEverk https://t.co/Z7KYLgms2L",21/04/2018 21:20:24,es,6,42,85,,124,http://twitter.com/malcoem/statuses/987788160737390599,"{""hashtags"":[{""text"":""WhitePrivilege"",""indices"":[93,108]}],""symbols"":[],""user_mentions"":[{""screen_name"":""breenatadder"",""name"":""Breena Tadder"",""id"":814112821579546600,""id_str"":""814112821579546624"",""indices"":[3,16]},{""screen_name"":""luxslive"",""name"":""LUXS"",""id"":925431247056248800,""id_str"":""925431247056248832"",""indices"":[51,60]}],""urls"":[]}"
2,9.88E+17,Andrews2cents,"RT @larryelder: The two black men admit that #Starbucks store policy requires a buy before customers can use the restroom. They admit they bought nothing. They admit they brought their OWN water--to a place that SELLS water. They admit they were politely asked to leave.

Oh, the humanity!!!",21/04/2018 21:20:17,en,46,322,32,"New York, USA",684,http://twitter.com/Andrews2cents/statuses/987788133889658880,"{""hashtags"":[{""text"":""Starbucks"",""indices"":[45,55]}],""symbols"":[],""user_mentions"":[{""screen_name"":""larryelder"",""name"":""Larry Elder"",""id"":195271137,""id_str"":""195271137"",""indices"":[3,14]}],""urls"":[]}"
3,9.88E+17,SawyerAndrew,"RT @amjoyshow: .@hmcghee: This is a teachable moment for the country, for other corporations who are watching, as well as for nearly 180,000 employees. Is it just about diversity, or is it about the structural racism that exists in our society? #AMJoy #Starbucks https://t.co/3Brgn6MuY1",21/04/2018 21:20:04,en,3516,24612,3902,Memphis,49264,http://twitter.com/SawyerAndrew/statuses/987788078973640704,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""amjoyshow"",""name"":""AM Joy w/Joy Reid"",""id"":731132367058968600,""id_str"":""731132367058968576"",""indices"":[3,13]},{""screen_name"":""hmcghee"",""name"":""Heather C. McGhee"",""id"":17375057,""id_str"":""17375057"",""indices"":[16,24]}],""urls"":[]}"
4,9.88E+17,SU2CandMe,"RT @larryelder: The two black men admit that #Starbucks store policy requires a buy before customers can use the restroom. They admit they bought nothing. They admit they brought their OWN water--to a place that SELLS water. They admit they were politely asked to leave.

Oh, the humanity!!!",21/04/2018 21:20:01,en,2313,16191,1483,USA,32422,http://twitter.com/SU2CandMe/statuses/987788066101301248,"{""hashtags"":[{""text"":""Starbucks"",""indices"":[45,55]}],""symbols"":[],""user_mentions"":[{""screen_name"":""larryelder"",""name"":""Larry Elder"",""id"":195271137,""id_str"":""195271137"",""indices"":[3,14]}],""urls"":[]}"
5,9.88E+17,eye95,"RT @larryelder: The men said, ""We were told we had to buy something""--but we were NOT told we'd have to leave if we didn't. Well, gee, you see, if you still get to stay when you refuse to buy, then you really don't have to buy--after just being told that you had to. It's complicated.
#Starbucks",21/04/2018 21:19:49,en,307,2149,172,"Fairborn, Ohio",4338,http://twitter.com/eye95/statuses/987788013433446400,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""larryelder"",""name"":""Larry Elder"",""id"":195271137,""id_str"":""195271137"",""indices"":[3,14]}],""urls"":[]}"
6,9.88E+17,tleary1,"RT @larryelder: Philadelphia Police Commish, who is black as was at least one of the cops, said his cops did nothing wrong. Apologized anyway. #Starbucks CEO confirms store policy requires a purchase. Apologized anyway. And media are treating the 2 black #victicrats like they're Rosa Parks.",21/04/2018 21:19:32,en,74,518,273,,1076,http://twitter.com/tleary1/statuses/987787944613232643,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""larryelder"",""name"":""Larry Elder"",""id"":195271137,""id_str"":""195271137"",""indices"":[3,14]}],""urls"":[]}"
7,9.88E+17,SheriAlba,"RT @larryelder: The two black men admit that #Starbucks store policy requires a buy before customers can use the restroom. They admit they bought nothing. They admit they brought their OWN water--to a place that SELLS water. They admit they were politely asked to leave.

Oh, the humanity!!!",21/04/2018 21:19:31,en,905,6335,669,"Texas, simply the best!",12710,http://twitter.com/SheriAlba/statuses/987787940628717568,"{""hashtags"":[{""text"":""Starbucks"",""indices"":[45,55]}],""symbols"":[],""user_mentions"":[{""screen_name"":""larryelder"",""name"":""Larry Elder"",""id"":195271137,""id_str"":""195271137"",""indices"":[3,14]}],""urls"":[]}"
8,9.88E+17,abington_chris,"RT @larryelder: Philadelphia Police Commish, who is black as was at least one of the cops, said his cops did nothing wrong. Apologized anyway. #Starbucks CEO confirms store policy requires a purchase. Apologized anyway. And media are treating the 2 black #victicrats like they're Rosa Parks.",21/04/2018 21:19:19,en,331,2317,212,,4674,http://twitter.com/abington_chris/statuses/987787889386901505,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""larryelder"",""name"":""Larry Elder"",""id"":195271137,""id_str"":""195271137"",""indices"":[3,14]}],""urls"":[]}"
9,9.88E+17,fdemag,"RT @larryelder: The two black men admit that #Starbucks store policy requires a buy before customers can use the restroom. They admit they bought nothing. They admit they brought their OWN water--to a place that SELLS water. They admit they were politely asked to leave.

Oh, the humanity!!!",21/04/2018 21:19:03,en,423,2961,522,,5962,,"{""hashtags"":[{""text"":""Starbucks"",""indices"":[45,55]}],""symbols"":[],""user_mentions"":[{""screen_name"":""larryelder"",""name"":""Larry Elder"",""id"":195271137,""id_str"":""195271137"",""indices"":[3,14]}],""urls"":[]}"
10,9.88E+17,kvandry,"RT @larryelder: The two black men admit that #Starbucks store policy requires a buy before customers can use the restroom. They admit they bought nothing. They admit they brought their OWN water--to a place that SELLS water. They admit they were politely asked to leave.

Oh, the humanity!!!",21/04/2018 21:19:01,en,986,6902,985,,13844,http://twitter.com/kvandry/statuses/987787811322564614,"{""hashtags"":[{""text"":""Starbucks"",""indices"":[45,55]}],""symbols"":[],""user_mentions"":[{""screen_name"":""larryelder"",""name"":""Larry Elder"",""id"":195271137,""id_str"":""195271137"",""indices"":[3,14]}],""urls"":[]}"
