,col
0,Russian
9,neptunium
10,Np
11,atomic_number_93
12,nurse_practitioner
13,NP
14,nurse_clinician
15,Marxism
31,Marx
32,Herbert_Marx
33,Zeppo
35,Arthur_Marx
36,Harpo
38,Leonard_Marx
39,Chico
41,Julius_Marx
42,Groucho
44,Karl_Marx
45,aviation
46,air_power
49,airmanship
50,air_travel
52,air
56,venom
57,malice
58,maliciousness
59,spite
60,spitefulness
68,wonder
69,marvel
97,love_affair
98,romance
99,romanticism
101,Romance
102,Romance_language
103,Latinian_language
104,love_story
107,woo
108,court
110,solicit
112,chat_up
113,flirt
114,dally
115,butterfly
116,coquet
117,coquette
119,philander
120,mash
123,Latin
124,embroil
125,tangle
126,sweep
127,sweep_up
128,drag
129,drag_in
130,ravel
132,knot
133,tousle
134,dishevel
136,entangle
138,mat
139,snarl
140,tangled
141,Byzantine
142,convoluted
143,involved
144,knotty
146,tortuous
147,avenger
148,retaliator
149,atavist
150,throwback
151,atavism
152,reversion
154,atavistic
156,northwest
157,nor'-west
158,northwestward
159,NW
165,hilarity
166,mirth
167,mirthfulness
168,glee
169,gleefulness
170,smile
171,smiling
172,grin
173,grinning
175,farcical
176,ludicrous
177,ridiculous
178,book
180,volume
181,record
182,record_book
184,script
186,playscript
187,ledger
188,leger
189,account_book
190,book_of_account
194,rule_book
195,Koran
196,Quran
197,al-Qur'an
198,Book
199,Bible
200,Christian_Bible
202,Good_Book
203,Holy_Scripture
204,Holy_Writ
205,Scripture
206,Word_of_God
207,Word
211,reserve
212,hold
254,reading
257,meter_reading
258,indication
260,reading_material
261,interpretation
263,version
264,Reading
265,recitation
266,recital
270,read
272,say
275,scan
277,take
279,learn
280,study
284,register
285,show
289,understand
291,interpret
292,translate
293,quotation_mark
294,quote
295,inverted_comma
296,quotation
298,citation
300,cite
305,demigod
306,superman
307,Ubermensch
308,acid
309,back_breaker
310,battery-acid
311,dose
312,dot
313,Elvis
314,loony_toons
315,Lucy_in_the_sky_with_diamonds
316,pane
318,window_pane
319,Zen
380,cricket
383,happy
384,felicitous
386,glad
389,well-chosen
390,birthday
392,natal_day
393,little
394,small
397,slight
400,fiddling
401,footling
402,lilliputian
404,niggling
405,piddling
406,piffling
407,petty
408,picayune
409,trivial
412,short
415,minuscule
494,batman
510,chemical_bond
511,bond
513,bond_certificate
514,alliance
516,bail
517,bail_bond
519,shackle
521,hamper
522,trammel
523,attachment
526,bond_paper
527,Bond
528,Julian_Bond
530,James_Bond
531,adhesiveness
532,adhesion
533,adherence
535,adhere
536,hold_fast
538,bind
539,stick
540,stick_to
542,tie
543,attach
547,bring_together
548,draw_together
1446,movie
1447,film
1448,picture
1449,moving_picture
1450,moving-picture_show
1451,motion_picture
1452,motion-picture_show
1453,picture_show
1454,pic
1455,flick
1463,horror
1465,repugnance
1466,repulsion
1467,revulsion
1484,Poland
1485,Republic_of_Poland
1486,Polska
1487,Hollywood
1492,Bollywood
2310,Loki
2315,premiere
2316,premier
2322,fresh
2324,bracing
2325,brisk
2327,refreshing
2328,refreshful
2329,tonic
2331,new
2332,novel
2335,sweet
2338,invigorated
2339,refreshed
2340,reinvigorated
2343,unfermented
2344,clean
2347,unused
2349,impertinent
2350,impudent
2351,overbold
2352,smart
2353,saucy
2354,sassy
2355,wise
2356,newly
2357,freshly
2360,win
2361,winnings
2363,profits
2365,acquire
2367,gain
2369,advance
2371,pull_ahead
2372,make_headway
2373,get_ahead
2374,gain_ground
2375,succeed
2377,come_through
2378,bring_home_the_bacon
2379,deliver_the_goods
2428,restock
2429,Gotterdammerung
2430,Ragnarok
2431,Twilight_of_the_Gods
2432,health
2433,wellness
2438,Lego
2439,Lego_set
2451,cinema
2452,celluloid
2454,photographic_film
2457,plastic_film
2459,shoot
2462,reappraisal
2463,revaluation
2464,review
2465,reassessment
2467,critique
2468,critical_review
2469,review_article
2470,follow-up
2471,followup
2472,reexamination
2475,limited_review
2476,revue
2479,recapitulation
2480,recap
2484,brushup
2485,inspection
2488,reexamine
2492,go_over
2493,survey
2495,brush_up
2496,refresh
2498,look_back
2499,retrospect
2500,fantasy
2501,phantasy
2504,illusion
2507,fancy
2509,fantasize
2510,fantasise
2511,web_log
2512,blog
2674,Alfred
2675,Alfred_the_Great
3214,flood
3215,inundation
3216,deluge
3217,alluvion
3221,torrent
3223,floodlight
3224,flood_lamp
3225,photoflood
3227,overflow
3228,outpouring
3230,flowage
3231,flood_tide
3233,rising_tide
3236,inundate
3237,swamp
3240,oversupply
3241,glut
3243,Nicaragua
3244,Republic_of_Nicaragua
3245,Robin_Hood
3246,wallpaper
3248,paper
3249,twilight
3250,dusk
3251,gloaming
3252,gloam
3253,nightfall
3254,evenfall
3255,fall
3256,crepuscule
3257,crepuscle
3259,coin
3261,mint
3263,strike
3264,titanic
3266,jack
3267,doodly-squat
3268,diddly-squat
3269,diddlysquat
3270,diddly-shit
3271,diddlyshit
3272,diddly
3273,diddley
3274,squat
3275,shit
3276,mariner
3277,seaman
3278,tar
3279,Jack-tar
3280,Jack
3281,old_salt
3282,seafarer
3283,gob
3284,sea_dog
3285,laborer
3286,manual_laborer
3287,labourer
3289,jackfruit
3290,jak
3295,jackstones
3298,knave
3302,jackass
3304,jack_up
3305,jacklight
3307,iron_man
3308,ironman
3317,painting
3322,house_painting
3323,paint
3327,landscaping
3328,landscape_gardening
3330,landscape
3332,ship
3333,transport
3334,send
3337,embark
3341,battleship
3342,battlewagon
3369,Nazi
3370,German_Nazi
3371,nazi
3373,national_socialist
3375,military
3376,armed_forces
3377,armed_services
3378,military_machine
3379,war_machine
3383,environment
3385,environs
3386,surroundings
3387,surround
3390,Mobile
3391,Mobile_River
3393,mobile
3395,nomadic
3396,peregrine
3397,roving
3398,wandering
3402,fluid
3404,Alabama
3405,Heart_of_Dixie
3406,Camellia_State
3407,AL
3410,Alabama_River
3414,submarine
3415,pigboat
3416,sub
3417,U-boat
3418,bomber
3419,grinder
3420,hero
3421,hero_sandwich
3422,hoagie
3423,hoagy
3424,Cuban_sandwich
3425,Italian_sandwich
3426,poor_boy
3429,submarine_sandwich
3430,torpedo
3431,wedge
3432,zep
3439,undersea
3490,game
3497,plot
3498,secret_plan
3502,biz
3504,bet_on
3505,back
3506,gage
