topic_name,synonyms
Photography,pictorial_representation
Photography,process
Photography,occupation
Wine,alcohol
Wine,dark_red
Wine,drink
Wine,regale
Art,creation
Art,superior_skill
Art,visual_communication
Art,artwork
Socialism,political_orientation
Socialism,managed_economy
Spiritualism,theological_doctrine
Spiritualism,belief
Spiritualism,inwardness
Spiritualism,spirituality
Musicals,movie
Musicals,play
Education,activity
Education,content
Education,learning
Education,profession
Education,upbringing
Education,executive_department
Crafts,occupation
Crafts,vehicle
Crafts,class
Crafts,skill
Crafts,shrewdness
Crafts,fashion
Spirituality,property
Wellness,health
Wellness,wellbeing
Parents,genitor
Parents,organism
Technology,application
Technology,profession
Technology,engineering
Technology,discipline
Social,party
Music,auditory_communication
Music,sound
Music,activity
Outdoors,outside
Literature,writing
Literature,literary_study
Literature,profession
Games,contest
Games,game_equipment
Games,play
Games,bet
