,First,Movies,STATUS,Second,Tags
2668,March,Battle of the Sexes,SIMILAR,Mars,Mars
10186,Horror,Arrival,SIMILAR,Fear,Fear
15621,Movies,A Bad Moms Christmas,SIMILAR,Movie,Movie
15910,Movies,21 Jump Street,SIMILAR,Films,Films
15915,Movies,42,SIMILAR,Musical,Musical
16114,Movies,Bad Grandpa,SIMILAR,Film,Film
16908,Movies,12 Years a Slave,SIMILAR,Shows,Shows
17095,Sport,ATM,SIMILAR,Racing,Racing
21281,Tour,A Dog's Purpose,SIMILAR,Trip,Trip
21437,Tour,Anna Karenina,SIMILAR,Travel,Travel
24214,Career,Allegiant,SIMILAR,Job,Job
24215,Career,Allegiant,SIMILAR,Jobs,Jobs
26858,Phoenix,1922,SIMILAR,Sydney,Sydney
26901,Phoenix,50/50,SIMILAR,Boston,Boston
27579,Phoenix,Allegiant,SIMILAR,Raleigh,Raleigh
31635,Holy,Angry Birds,SIMILAR,Place,Place
42379,Sydney,13 Hours,SIMILAR,Phoenix,Phoenix
42433,Sydney,50/50,SIMILAR,Boston,Boston
43111,Sydney,Allegiant,SIMILAR,Raleigh,Raleigh
46630,Gun,2 Guns,SIMILAR,Guns,Guns
47566,Gun,Annie,SIMILAR,Steel,Steel
48041,Guns,2 Guns,SIMILAR,Gun,Gun
48978,Guns,Annie,SIMILAR,Steel,Steel
50882,Me,42,SIMILAR,De,De
51001,Me,Admission,SIMILAR,Jersey,Jersey
51143,Me,Assassin's Creed,SIMILAR,Texas,Texas
51239,Me,A Ghost Story,SIMILAR,Or,Or
51462,Me,42,SIMILAR,Hi,Hi
51581,Me,Allegiant,SIMILAR,Las,Las
51606,Me,Angry Birds,SIMILAR,La,La
52098,Me,1922,SIMILAR,In,In
52763,Nobel,August: Osage County,SIMILAR,Roberts,Roberts
53092,Nobel,Batman v Superman: Dawn of Justice,SIMILAR,Henry,Henry
53309,Nobel,1922,SIMILAR,Black,Black
55207,Womens,A Walk Among the Tombstones,SIMILAR,Amazon,Amazon
55297,Womens,American Honey,SIMILAR,Lady,Lady
55302,Womens,American Made,SIMILAR,Women,Women
55405,Womens,Bachelorette,SIMILAR,Bachelorette,Bachelorette
55414,Womens,Bastille Day,SIMILAR,Miss,Miss
55503,Womens,Abduction,SIMILAR,Girls,Girls
55504,Womens,Abduction,SIMILAR,Girl,Girl
55829,Womens,American Honey,SIMILAR,Lady,Lady
56202,Womens,A Street Cat Named Bob,SIMILAR,Cats,Cats
56460,Womens,A Street Cat Named Bob,SIMILAR,Cat,Cat
57321,China,Bad Teacher,SIMILAR,Japan,Japan
59138,Five,Avengers: Age of Ultron,SIMILAR,Figure,Figure
59461,Kenya,Abduction,SIMILAR,Rwanda,Rwanda
59557,Kenya,Animal Kingdom,SIMILAR,Nigeria,Nigeria
61342,Love,42,SIMILAR,Ardor,Ardor
68333,Lead,A Thousand Words,SIMILAR,Leads,Leads
69810,Lights,30 Minutes or Less,SIMILAR,Daylight,Daylight
70636,De,20th Century Women,SIMILAR,Me,Me
70769,De,Admission,SIMILAR,Jersey,Jersey
70911,De,Assassin's Creed,SIMILAR,Texas,Texas
71007,De,A Ghost Story,SIMILAR,Or,Or
71230,De,42,SIMILAR,Hi,Hi
71349,De,Allegiant,SIMILAR,Las,Las
71374,De,Angry Birds,SIMILAR,La,La
71866,De,1922,SIMILAR,In,In
73356,Men,Animal Kingdom,SIMILAR,Complement,Complement
75136,Argentina,Arrival,SIMILAR,Bolivia,Bolivia
83392,Parkland,6 Souls,SIMILAR,Tracts,Tracts
88092,News,A Haunted House,SIMILAR,Update,Update
89573,Team,21 & Over,SIMILAR,Five,Five
91508,World,A Walk in the Woods,SIMILAR,Nature,Nature
93168,Harvey,A Man Called Ove,SIMILAR,Down,Down
99124,Madrid,Apollo 18,SIMILAR,Amsterdam,Amsterdam
103095,Boston,13 Hours,SIMILAR,Phoenix,Phoenix
103106,Boston,1922,SIMILAR,Sydney,Sydney
103827,Boston,Allegiant,SIMILAR,Raleigh,Raleigh
106071,Federal,Admission,SIMILAR,Yankees,Yankees
106126,Federal,American Assassin,SIMILAR,American,American
118667,Tracts,42,SIMILAR,Parkland,Parkland
119487,Tracts,300: Rise of an Empire,SIMILAR,Green,Green
119875,Tracts,2 Guns,SIMILAR,Rights,Rights
121774,Andrew,Bad Words,SIMILAR,Saint,Saint
122619,Andrew,Allied,SIMILAR,John,John
125679,Movie,12 Years a Slave,SIMILAR,Movies,Movies
126046,Movie,21 Jump Street,SIMILAR,Films,Films
126051,Movie,42,SIMILAR,Musical,Musical
126250,Movie,Bad Grandpa,SIMILAR,Film,Film
127044,Movie,12 Years a Slave,SIMILAR,Shows,Shows
142627,Trip,13,SIMILAR,Tour,Tour
142869,Trip,Anna Karenina,SIMILAR,Travel,Travel
154041,Romance,A Royal Affair,SIMILAR,Romances,Romances
157440,Blessings,Abduction,SIMILAR,Support,Support
163909,Book,A Man Called Ove,SIMILAR,Reads,Reads
163948,Book,Abduction,SIMILAR,Read,Read
163972,Book,Alex Cross,SIMILAR,Books,Books
165320,Reads,A Man Called Ove,SIMILAR,Book,Book
165360,Reads,Abduction,SIMILAR,Read,Read
165384,Reads,Alex Cross,SIMILAR,Books,Books
171350,Seth,Ant-Man,SIMILAR,Man,Man
171477,Seth,42,SIMILAR,Men,Men
171542,Seth,A Street Cat Named Bob,SIMILAR,Cats,Cats
171875,Seth,A Street Cat Named Bob,SIMILAR,Cat,Cat
178271,Explain,10 Cloverfield Lane,SIMILAR,Explained,Explained
186581,Tunes,All Eyez on Me,SIMILAR,Music,Music
187905,Romances,A Haunted House,SIMILAR,Romance,Romance
191191,Tomb,Angry Birds,SIMILAR,Place,Place
192587,Cats,A Street Cat Named Bob,SIMILAR,Cat,Cat
192813,Cats,Anna Karenina,SIMILAR,Tom,Tom
193297,Cats,1922,SIMILAR,Panther,Panther
