tagid,tag1,tag2,tag3,tag4
1,'100-books','100-books-to-be-well-read','100-great-books','100-must-read-books-the-essential'
2,'1-on-ebook-reader','amazon-ebook-pay','ebook-collection','ebook-library'
3,'andrew-s-business-books','finance-books','11-beginner-investing-books','eco-eco-books'
4,'100-books-to-read-before-you-die','100-books-to-read-in-a-lifetime','4-star-higher-books','best-books'
5,100-most-influential','top-books',education-leadership,25-books-for-success
6,'animation-art-books',animal-fantasy,animals-cats,animal-stories
7,'books-i-love','books-i-need','fave-books','f_ebook'
8,'art-and-artbooks','artbooks-pictures','print-book','picture-book'
9,'audio-books-and-radio-dramas','audiobooks-read',audio-2016,listened-on-audio
10,bestsellers,'best-books-ever',best-of-2015,the-best-of-the-best
11,'book-i-own','01i_own_book',already-own,owned-story
12,'book-clubs','book-shelf','bookcase','book-collection'
13,'cookbooks-and-food','coffee-and-books','cookery-books','recipe-book'
14,new-series,'taught-me-something-new','new-on-the-shelf',new-age
15,'books-for-teaching','academic-books','teen-books','middle-school-books'
16,'kid-books','children-s-picture-book',books-from-childhood','childrens-chapter-books'
17,'mommy-books','dad-s-books','books-i-read-with-my-kids',child-development
18,'poker-book','travel-books','tournament-of-books',screenplay
19,'ancient-history','women-in-history','history-politics','business-history'
20,'top-10-poetry','lyric-poetry','poetry-plays','great-epic-poetry'
