Words,Synonym1,Synonym2,Synonym3,Synonym4,Synonym5,Synonym6,Synonym7,Synonym8,Synonym9,Synonym10
Reservation,mental_reservation ,booking ,,,,,,,,
Service,military_service,avail,servicing,serve,overhaul,,,,,
Worst,bad,regretful,,,,,,,,
Deceit,"fraudulence
","misrepresentation
",deception,,,,,,,
Contacted,reach ,touch,,,,,,,,
Issue,topic,return,consequence,offspring,emergence,exit,publish,,,
Topic,subject,,,,,,,,,
Resolution,solution,settlement,resolving ,resoluteness,,,,,,
case,lawsuit,event,subject,font,sheath,casing,shell,encase,,
assigned,fraud,imposter,,,,,,,,
credit,credit,recognition,accredit,credit_rating,,,,,,
describe,describe,report,trace,identify,,,,,,
account,account,history,bill,report,explaination,score,,,,
price,price,monetary_value,,,,,,,,
rule,rule,principle,govern,predominate,convention,,,,,
notice,notice,notification,detect,poster,,,,,,
practice,practice,drill,rehearse,commit,,,,,,
host,host,server,master_of_ceremonies,,,,,,,
house,house,firm,theater,sign_of_the_zodiac,,,,,,
home,home,dwelling,base,family,,,,,,
build,build,physique,human_body,construct,build_up,,,,,
amenities,amenities,comfort,agreeableness,,,,,,,
problem,problem,trouble,,,,,,,,
man,man,world,valet,serviceman,homo,,,,,
