Tag,Synsets_1,Synsets_2,Synsets_3,Synsets_4,Synsets_5
game,punt,crippled,gritty,bet_on,gamy
video_game,computer_game,video_game,,,
war,state_of_war,war,warfare,,
gaming,punt,gage,play,gambling,stake
battle,combat,struggle,conflict,engagement,fight
PC,microcomputer,personal_computer,pc,,
competition,challenger,contention,rivalry,contest,contender
role,persona,use,part,character,purpose
super,A-one,crack,passing,superintendent,tops
shiver,vibrate,thrilling,exhilarate,shudder,electrifying
addict,freak,junkie,junky,nut,
