ID,name,full_name,club,club_logo
20801,Cristiano Ronaldo,C. Ronaldo dos Santos Aveiro,Real Madrid CF,https://cdn.sofifa.org/18/teams/243.png
158023,L. Messi,Lionel Messi,FC Barcelona,https://cdn.sofifa.org/18/teams/241.png
190871,Neymar,Neymar da Silva Santos Jr.,Paris Saint-Germain,https://cdn.sofifa.org/18/teams/73.png
176580,L. Su谩rez,Luis Su谩rez,FC Barcelona,https://cdn.sofifa.org/18/teams/241.png
167495,M. Neuer,Manuel Neuer,FC Bayern Munich,https://cdn.sofifa.org/18/teams/21.png
188545,R. Lewandowski,Robert Lewandowski,FC Bayern Munich,https://cdn.sofifa.org/18/teams/21.png
193080,De Gea,David De Gea Quintana,Manchester United,https://cdn.sofifa.org/18/teams/11.png
183277,E. Hazard,Eden Hazard,Chelsea,https://cdn.sofifa.org/18/teams/5.png
182521,T. Kroos,Toni Kroos,Real Madrid CF,https://cdn.sofifa.org/18/teams/243.png
167664,G. Higua铆n,Gonzalo Higua铆n,Juventus,https://cdn.sofifa.org/18/teams/45.png
155862,Sergio Ramos,Sergio Ramos Garc铆a,Real Madrid CF,https://cdn.sofifa.org/18/teams/243.png
192985,K. De Bruyne,Kevin De Bruyne,Manchester City,https://cdn.sofifa.org/18/teams/10.png
192119,T. Courtois,Thibaut Courtois,Chelsea,https://cdn.sofifa.org/18/teams/5.png
184941,A. S谩nchez,Alexis S谩nchez,Arsenal,https://cdn.sofifa.org/18/teams/1.png
177003,L. Modri,Luka Modri,Real Madrid CF,https://cdn.sofifa.org/18/teams/243.png
173731,G. Bale,Gareth Bale,Real Madrid CF,https://cdn.sofifa.org/18/teams/243.png
153079,S. Ag眉ero,Sergio Ag眉ero,Manchester City,https://cdn.sofifa.org/18/teams/10.png
138956,G. Chiellini,Giorgio Chiellini,Juventus,https://cdn.sofifa.org/18/teams/45.png
1179,G. Buffon,Gianluigi Buffon,Juventus,https://cdn.sofifa.org/18/teams/45.png
211110,P. Dybala,Paulo Dybala,Juventus,https://cdn.sofifa.org/18/teams/45.png
200389,J. Oblak,Jan Oblak,Atl茅tico Madrid,https://cdn.sofifa.org/18/teams/240.png
194765,A. Griezmann,Antoine Griezmann,Atl茅tico Madrid,https://cdn.sofifa.org/18/teams/240.png
189509,Thiago,Thiago Alc芒ntara,FC Bayern Munich,https://cdn.sofifa.org/18/teams/21.png
188567,P. Aubameyang,Pierre-Emerick Aubameyang,Borussia Dortmund,https://cdn.sofifa.org/18/teams/22.png
184344,L. Bonucci,Leonardo Bonucci,Milan,https://cdn.sofifa.org/18/teams/47.png
183907,J. Boateng,J茅r么me Boateng,FC Bayern Munich,https://cdn.sofifa.org/18/teams/21.png
182493,D. God铆n,Diego God铆n,Atl茅tico Madrid,https://cdn.sofifa.org/18/teams/240.png
178603,M. Hummels,Mats Hummels,FC Bayern Munich,https://cdn.sofifa.org/18/teams/21.png
176635,M. zil,Mesut zil,Arsenal,https://cdn.sofifa.org/18/teams/1.png
167948,H. Lloris,Hugo Lloris,Tottenham Hotspur,https://cdn.sofifa.org/18/teams/18.png
164240,Thiago Silva,Thiago Emiliano da Silva,Paris Saint-Germain,https://cdn.sofifa.org/18/teams/73.png
41236,Z. Ibrahimovi,Zlatan Ibrahimovi,Manchester United,https://cdn.sofifa.org/18/teams/11.png
9014,A. Robben,Arjen Robben,FC Bayern Munich,https://cdn.sofifa.org/18/teams/21.png
215914,N. Kant茅,N'Golo Kant茅,Chelsea,https://cdn.sofifa.org/18/teams/5.png
199556,M. Verratti,Marco Verratti,Paris Saint-Germain,https://cdn.sofifa.org/18/teams/73.png
195864,P. Pogba,Paul Pogba,Manchester United,https://cdn.sofifa.org/18/teams/11.png
190460,C. Eriksen,Christian Eriksen,Tottenham Hotspur,https://cdn.sofifa.org/18/teams/18.png
181872,A. Vidal,Arturo Vidal,FC Bayern Munich,https://cdn.sofifa.org/18/teams/21.png
179813,E. Cavani,Edinson Cavani,Paris Saint-Germain,https://cdn.sofifa.org/18/teams/73.png
176676,Marcelo,Marcelo Vieira da Silva,Real Madrid CF,https://cdn.sofifa.org/18/teams/243.png
171877,M. Ham拧铆k,Marek Ham拧铆k,Napoli,https://cdn.sofifa.org/18/teams/48.png
168651,I. Rakiti,Ivan Rakiti,FC Barcelona,https://cdn.sofifa.org/18/teams/241.png
168542,David Silva,David Josu茅 Jim茅nez Silva,Manchester City,https://cdn.sofifa.org/18/teams/10.png
162835,S. Handanovi,Samir Handanovi,Inter,https://cdn.sofifa.org/18/teams/44.png
152729,Piqu茅,Gerard Piqu茅 Bernabeu,FC Barcelona,https://cdn.sofifa.org/18/teams/241.png
41,Iniesta,Andr茅s Iniesta Luj谩n,FC Barcelona,https://cdn.sofifa.org/18/teams/241.png
202126,H. Kane,Harry Kane,Tottenham Hotspur,https://cdn.sofifa.org/18/teams/18.png
198710,J. Rodr铆guez,James Rodr铆guez,FC Bayern Munich,https://cdn.sofifa.org/18/teams/21.png
197781,Isco,Francisco Rom谩n Alarc贸n Su谩rez,Real Madrid CF,https://cdn.sofifa.org/18/teams/243.png
197445,D. Alaba,David Alaba,FC Bayern Munich,https://cdn.sofifa.org/18/teams/21.png
192505,R. Lukaku,Romelu Lukaku,Manchester United,https://cdn.sofifa.org/18/teams/11.png
191043,Alex Sandro,Alex Sandro Lobo Silva,Juventus,https://cdn.sofifa.org/18/teams/45.png
189596,T. M眉ller,Thomas M眉ller,FC Bayern Munich,https://cdn.sofifa.org/18/teams/21.png
189511,Sergio Busquets,Sergio Busquets Burgos,FC Barcelona,https://cdn.sofifa.org/18/teams/241.png
189242,Coutinho,Philippe Coutinho Correia,Liverpool,https://cdn.sofifa.org/18/teams/9.png
188350,M. Reus,Marco Reus,Borussia Dortmund,https://cdn.sofifa.org/18/teams/22.png
184087,T. Alderweireld,Toby Alderweireld,Tottenham Hotspur,https://cdn.sofifa.org/18/teams/18.png
179944,David Luiz,David Luiz Moreira Marinho,Chelsea,https://cdn.sofifa.org/18/teams/5.png
179844,Diego Costa,Diego da Silva Costa,Chelsea,https://cdn.sofifa.org/18/teams/5.png
178518,R. Nainggolan,Radja Nainggolan,Roma,https://cdn.sofifa.org/18/teams/52.png
177610,Javi Mart铆nez,Javier Mart铆nez Aginaga,FC Bayern Munich,https://cdn.sofifa.org/18/teams/21.png
175943,D. Mertens,Dries Mertens,Napoli,https://cdn.sofifa.org/18/teams/48.png
172879,Sokratis,Sokratis Papastathopoulos,Borussia Dortmund,https://cdn.sofifa.org/18/teams/22.png
168609,Miranda,Jo茫o Miranda de Souza Filho,Inter,https://cdn.sofifa.org/18/teams/44.png
165153,K. Benzema,Karim Benzema,Real Madrid CF,https://cdn.sofifa.org/18/teams/243.png
162895,Cesc F bregas,Francesc F bregas i Soler,Chelsea,https://cdn.sofifa.org/18/teams/5.png
156616,F. Rib茅ry,Franck Rib茅ry,FC Bayern Munich,https://cdn.sofifa.org/18/teams/21.png
120533,Pepe,K茅pler Laveran Lima Ferreira,Beikta JK,https://cdn.sofifa.org/18/teams/327.png
48940,P. ech,Petr ech,Arsenal,https://cdn.sofifa.org/18/teams/1.png
208418,Y. Carrasco,Yannick Carrasco,Atl茅tico Madrid,https://cdn.sofifa.org/18/teams/240.png
201535,R. Varane,Rapha毛l Varane,Real Madrid CF,https://cdn.sofifa.org/18/teams/243.png
201153,Morata,lvaro Borja Morata Mart铆n,Chelsea,https://cdn.sofifa.org/18/teams/5.png
200145,Casemiro,Carlos Henrique Venancio Casimiro,Real Madrid CF,https://cdn.sofifa.org/18/teams/243.png
198219,L. Insigne,Lorenzo Insigne,Napoli,https://cdn.sofifa.org/18/teams/48.png
193747,Koke,Jorge Resurrecci贸n,Atl茅tico Madrid,https://cdn.sofifa.org/18/teams/240.png
193301,A. Lacazette,Alexandre Lacazette,Arsenal,https://cdn.sofifa.org/18/teams/1.png
193041,K. Navas,Keylor Navas,Real Madrid CF,https://cdn.sofifa.org/18/teams/243.png
192883,H. Mkhitaryan,Henrikh Mkhitaryan,Manchester United,https://cdn.sofifa.org/18/teams/11.png
192593,D. Suba拧i,Danijel Suba拧i,AS Monaco,https://cdn.sofifa.org/18/teams/69.png
192563,B. Leno,Bernd Leno,Bayer 04 Leverkusen,https://cdn.sofifa.org/18/teams/32.png
192448,M. ter Stegen,Marc-Andr茅 ter Stegen,FC Barcelona,https://cdn.sofifa.org/18/teams/241.png
190547,K. Glik,Kamil Glik,AS Monaco,https://cdn.sofifa.org/18/teams/69.png
189332,Jordi Alba,Jordi Alba Ramos,FC Barcelona,https://cdn.sofifa.org/18/teams/241.png
186942,I. G眉ndoan,陌lkay G眉ndoan,Manchester City,https://cdn.sofifa.org/18/teams/10.png
184432,Azpilicueta,C茅sar Azpilicueta Tanco,Chelsea,https://cdn.sofifa.org/18/teams/5.png
183898,A. Di Mar铆a,ngel Di Mar铆a,Paris Saint-Germain,https://cdn.sofifa.org/18/teams/73.png
180206,M. Pjani,Miralem Pjani,Juventus,https://cdn.sofifa.org/18/teams/45.png
173210,C. Marchisio,Claudio Marchisio,Juventus,https://cdn.sofifa.org/18/teams/45.png
172871,J. Vertonghen,Jan Vertonghen,Tottenham Hotspur,https://cdn.sofifa.org/18/teams/18.png
170890,B. Matuidi,Blaise Matuidi,Juventus,https://cdn.sofifa.org/18/teams/45.png
167628,S. Ruffier,St茅phane Ruffier,AS Saint-tienne,https://cdn.sofifa.org/18/teams/1819.png
164169,Filipe Lu铆s,Filipe Lu铆s Kasmirski,Atl茅tico Madrid,https://cdn.sofifa.org/18/teams/240.png
139720,V. Kompany,Vincent Kompany,Manchester City,https://cdn.sofifa.org/18/teams/10.png
137186,A. Barzagli,Andrea Barzagli,Juventus,https://cdn.sofifa.org/18/teams/45.png
225508,E. Bailly,Eric Bailly,Manchester United,https://cdn.sofifa.org/18/teams/11.png
220834,Marco Asensio,Marco Asensio Willemsen,Real Madrid CF,https://cdn.sofifa.org/18/teams/243.png
218667,Bernardo Silva,Bernardo Mota Carvalho e Silva,Manchester City,https://cdn.sofifa.org/18/teams/10.png
212218,A. Laporte,Aymeric Laporte,Athletic Club de Bilbao,https://cdn.sofifa.org/18/teams/448.png
211117,D. Alli,Dele Alli,Tottenham Hotspur,https://cdn.sofifa.org/18/teams/18.png
208722,S. Man茅,Sadio Man茅,Liverpool,https://cdn.sofifa.org/18/teams/9.png
204963,Carvajal,Daniel Carvajal Ramos,Real Madrid CF,https://cdn.sofifa.org/18/teams/243.png
202166,J. Draxler,Julian Draxler,Paris Saint-Germain,https://cdn.sofifa.org/18/teams/73.png
201399,M. Icardi,Mauro Icardi,Inter,https://cdn.sofifa.org/18/teams/44.png
