,Noun,Noun_plural,cardinal_digit,adjective,adverb,proper_noun,prepositon,verb_past
0,risetogether,nbaplayoffs,20onpump2,unleashthemanimal,onlyupfromhere,Gemini,NeverEnough,sponsored
1,marchmadness,spurs,13yearsandout,nbatwitterlive,carolinafamily,HeIsRisen,Underground,blessed
2,beststeakhousehandsdown,shesaidyes,6,unleaded,teamprogressiondaily,GloryToGod,Underground,sponsored
3,historic,madukes,5thmaster,NBATwitterLive,sponsoredobviously,Kobe4,from,blessed
4,str8up,gobucks,5minutesfromhome,UnleashTheManimal,liningfamily,BBN,from,blessed
5,detroitbasketball,teaguetuesdays,94,NBATwitterLive,spanishfamily,BBN,from,blessed
6,ripnipthegreat,bigfacts,7yearsyoung,uncommon,literally,BBN,from,staytuned
7,risetogether,60wins,10,FREE,grinddaily,HeIsRisen,FacebookDown,MostHated
8,airforce1,iguazufalls,3,NbaTwitterLive,spursfamily,BetterEveryDay,BearDown,MostHated
9,glorytogod,playoffs,22,global,spursfamily,LigaEndesa,WhatsappDown,pressureapplied
