"city","city_id","country","distance","latitude","localized_country_name","longitude","member_count","ranking","state","zip"
"West New York","7093","us","2524.541","40.79000100","USA","-74.01000200","661","32","NJ","7093"
"New York","10001","us","2526.837","40.75000000","USA","-73.98999800","229371","0","NY","10001"
"New York Mills","13417","us","2392.162","43.09999800","USA","-75.29000100","22","109","NY","13417"
"East Chicago","46312","us","1810.371","41.63999900","USA","-87.45999900","31","90","IN","46312"
"New York Mills","56567","us","1418.834","46.68999900","USA","-95.34999800","5","1","MN","56567"
"North Chicago","60064","us","1779.682","42.33000200","USA","-87.86000100","45","32","IL","60064"
"West Chicago","60185","us","1768.894","41.88999900","USA","-88.19999700","214","95","IL","60185"
"Chicago Heights","60411","us","1804.834","41.50999800","USA","-87.61000100","141","128","IL","60411"
"Chicago Ridge","60415","us","1793.115","41.70000100","USA","-87.77999900","77","178","IL","60415"
"Chicago","60601","us","1798.434","41.88000100","USA","-87.62000300","90918","0","IL","60290"
"South San Francisco","94080","us","25.883","37.65000200","USA","-122.43000000","511","0","CA","94080"
"San Francisco","94101","us","31.839","37.77999900","USA","-122.41999800","60351","2","CA","94101"
"Chicago Park","95712","us","133.891","39.16000000","USA","-120.95999900","4","32","CA","95712"
