Movie_ID,movie_names,gross_value,imdb_ratings,metscores,movie_description,runtime,votes,certificate,certificate_id,year_release,year_id,Genre1,Genre2,Genre3,director_name,Director_id,star1,star2,star3,star4,star5,star6
1,Inception,292576195,8.8,74,"A thief, who steals corporate secrets through the use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO.",148 min,1685228,PG-13,1,2010,1,Action, Adventure, Sci-Fi            ,Christopher Nolan,1,Christopher Nolan, Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page,null,null
2,Shutter Island,128012934,8.1,63,"In 1954, a U.S. Marshal investigates the disappearance of a murderer, who escaped from a hospital for the criminally insane.",138 min,918537,R,2,2010,1,Mystery, Thriller            ,null,Martin Scorsese,2,Martin Scorsese, Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo,null,null
3,Toy Story 3,415004880,8.3,92,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",103 min,625075,G,3,2010,1,Animation, Adventure, Comedy            ,Lee Unkrich,3,Lee Unkrich, Tom Hanks, Tim Allen, Joan Cusack,null,null
4,Black Swan,106954678,8,79,"A committed dancer wins the lead role in a production of Tchaikovsky's ""Swan Lake"" only to find herself struggling to maintain her sanity.",108 min,609195,R,2,2010,1,Drama, Thriller            ,null,Darren Aronofsky,4,Darren Aronofsky, Natalie Portman, Mila Kunis, Vincent Cassel,null,null
5,Iron Man 2,312433331,7,57,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",124 min,590193,PG-13,1,2010,1,Action, Adventure, Sci-Fi            ,Jon Favreau,5,Jon Favreau, Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow,null,null
6,The King's Speech,138797449,8,88,"The story of King George VI of the United Kingdom of Great Britain and Northern Ireland, his impromptu ascension to the throne and the speech therapist who helped the unsure monarch become worthy of it.",118 min,558931,R,2,2010,1,Biography, Drama            ,null,Tom Hooper,6,Tom Hooper, Colin Firth, Geoffrey Rush, Helena Bonham Carter,null,null
7,How to Train Your Dragon,217581231,8.1,74,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",98 min,557642,PG,4,2010,1,Animation, Action, Adventure            ,Dean DeBlois,7,Dean DeBlois, Chris Sanders, Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse,null
8,The Social Network,96962694,7.7,95,"Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, but is later sued by two brothers who claimed he stole their idea, and the co-founder who was later squeezed out of the business.",120 min,536020,PG-13,1,2010,1,Biography, Drama            ,null,David Fincher,8,David Fincher, Jesse Eisenberg, Andrew Garfield, Justin Timberlake,null,null
9,Kick-Ass,48071303,7.6,66,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",117 min,474713,R,2,2010,1,Action, Comedy            ,null,Matthew Vaughn,9,Matthew Vaughn, Aaron Taylor-Johnson, Nicolas Cage, Chloí_Œ‰ Grace Moretz,null,null
10,Despicable Me,251513985,7.7,72,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",95 min,433295,PG,4,2010,1,Animation, Adventure, Comedy            ,Pierre Coffin,10,Pierre Coffin, Chris Renaud, Steve Carell, Jason Segel, Russell Brand,null
11,Harry Potter and the Deathly Hallows: Part 1,295983305,7.7,65,"As Harry races against time and evil to destroy the Horcruxes, he uncovers the existence of three most powerful objects in the wizarding world: the Deathly Hallows.",146 min,383804,PG-13,1,2010,1,Adventure, Family, Fantasy            ,David Yates,11,David Yates, Daniel Radcliffe, Emma Watson, Rupert Grint,null,null
12,Alice in Wonderland,334191110,6.5,53,"Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.",108 min,338619,PG,4,2010,1,Adventure, Family, Fantasy            ,Tim Burton,12,Tim Burton, Mia Wasikowska, Johnny Depp, Helena Bonham Carter,null,null
13,Tangled,200821936,7.8,71,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",100 min,335860,PG,4,2010,1,Animation, Adventure, Comedy            ,Nathan Greno,13,Nathan Greno, Byron Howard, Mandy Moore, Zachary Levi, Donna Murphy,null
14,Scott Pilgrim vs. the World,31494270,7.5,69,"Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.",112 min,312009,PG-13,1,2010,1,Action, Comedy, Romance            ,Edgar Wright,14,Edgar Wright, Michael Cera, Mary Elizabeth Winstead, Kieran Culkin,null,null
15,Easy A,58401464,7.1,72,"A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.",92 min,309764,PG-13,1,2010,1,Comedy, Drama, Romance            ,Will Gluck,15,Will Gluck, Emma Stone, Amanda Bynes, Penn Badgley,null,null
16,127 Hours,18335230,7.6,82,"An adventurous mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.",94 min,306873,R,2,2010,1,Adventure, Biography, Drama            ,Danny Boyle,16,Danny Boyle, James Franco, Amber Tamblyn, Kate Mara,null,null
