country_id,country
1,Unknown
2,United States
3,South Africa
4,United Kingdom
5,Russia
6,Thailand
7,Canada
8,Australia
9,Singapore
10,Belgium
11,Mexico
12,Spain
13,France
14,United Arab Emirates
15,Republic of Korea
16,Pakistan
17,Libya
18,Gambia
19,Ivory Coast
20,Ukraine
21,Democratic Republic of the Congo
22,Iran
23,Finland
24,Brazil
25,Colombia
26,AEROCENTER
27,Ghana
28,Kenya
29,Liberia
30,Togo
31,Somali Republic
32,Morocco
33,Canadian Territories
34,Dominican Republic
35,Japan
36,Albania
37,Nigeria
38,Germany
39,Slovenia
40,Czech Republic
41,Benin
42,AEROCESAR
43,Greece
44,Chile
45,Tanzania
46,Bolivia
47,Italy
48,Sweden
49,Argentina
50,Sierra Leone
51,Indonesia
52,Senegal
53,Afghanistan
54,Uganda
55,Bosnia and Herzegovina
56,Gabon
57,Angola
58,Uzbekistan
59,Namibia
60,Turkey
61,Vietnam
62,Zambia
63,Venezuela
64,Egypt
65,Ireland
66,Switzerland
67,Serbia
68,Peru
69,Slovakia
70,Denmark
71,Azerbaijan
72,AIRPORT HELICOPTER
73,Hong Kong
74,Croatia
75,Hungary
76,Estonia
77,Swaziland
78,India
79,Reunion
80,Iceland
81,Israel
82,Austria
83,Jamaica
84,Malta
85,Portugal
86,Cyprus
87,Kazakhstan
88,Kyrgyzstan
89,Turkmenistan
90,Kiribati
91,Cambodia
92,Netherlands Antilles
93,Sao Tome and Principe
94,ALNACIONAL
95,Lithuania
96,Maldives
97,Malawi
98,Moldova
99,Montenegro
100,Macao
101,Seychelles
102,Bulgaria
103,Papua New Guinea
104,Latvia
105,ANTARES
106,AVINOR
107,New Zealand
108,ALCON
109,ASTORIA
110,COMPANY AS
111,Philippines
112,AIRPAC
113,AIRFLIGHT
114,ASA PESADA
115,AIR PRINT
116,APPALACHIAN
117,ALASKA PACIFIC
118,AEROPERLAS
119,AEROPUMA
120,ATCO
121,AVIOQUINTANA
122,Aruba
123, S.A.
124,ARMSTRONG
125,Armenia
126,AIREX
127,Chad
128,ALASKA
129,SCHEFF
130,AEROSUN
131,ALL STAR
132,AIR CLASS
133,Nepal
134,Sudan
135,Panama
136,Guinea-Bissau
137,ATLANTIS CANADA
138,Burkina Faso
139,Netherlands
140,Ecuador
141,AUDI AIR
142,Uruguay
143,AURORA AIR
144,AUSA
145,AVIANCA
146,ALAMO
147,Djibouti
148,AVEMEX
149,Vanuatu
150,AQUILINE
151,ACTIVE AERO
152,Bangladesh
153,Georgia
154,El Salvador
155,AEROVARADERO
156,AIRNAT
157,Niger
158,Jordan
159,AIRWAVE
160,AEROWEE
161,AIR FREIGHTER
162,Malaysia
163,RENTAXEL
164,Macedonia
165,AIRMAN
166,ATLANTIC NICARAGUA
167,AZIMUT
168,Zimbabwe
169,ARIZAIR
170,Lebanon
171,Guatemala
172,Bahrain
173,Barbados
174,Botswana
175,French Polynesia
176,Russian Federation
177,China
178,Belize
179,Mozambique
180,Marshall Islands
181,Algeria
182,Ethiopia
183,Air S
184,Fiji
185,Mali
186,Faroe Islands
187,Mauritania
188,Cameroon
189,Guinea
190,Belarus
191,French Guiana
192,Haiti
193,Comoros
194,Honduras
195,Norway
196,Myanmar
197,Democratic People's Republic of Korea
198,Mauritius
199,Madagascar
200,Mongolia
201,Burundi
202,Sri Lanka
203,Romania
204,Republic of the Congo
205,Rwanda
206,Nicaragua
207,Turks and Caicos Islands
208,S
209,Bahamas
210,Suriname
211,Syrian Arab Republic
212,AIR-MAUR
213,Cape Verde
214,Luxembourg
215,Oman
216,Antigua and Barbuda
217,Trinidad and Tobago
218,Hong Kong SAR of China
219,Cayman Islands
220,Central African Republic
221,Democratic Republic of Congo
222,Poland
223,Taiwan
224,ASUR
225,Paraguay
226,Cuba
227,DRAGON
228,Bhutan
229,Equatorial Guinea
230,UNIFORM OSCAR
231,Russia]]
232,Eritrea
233,Tunisia
234,Costa Rica
235,Saint Lucia
236,Monaco
237,Solomon Islands
238,ALDAWLYH AIR
239,Iraq
240,Kuwait
241,ODINN
242,LAP
243,Lao Peoples Democratic Republic
244,Bermuda
245,WATCHDOG
246,Montserrat
247,Nauru
248,Saudi Arabia
249,Palau
250,Tonga
251,Samoa
252,Qatar
253,Netherland
254,Guyana
255,Cook Islands
256,Brunei
257,ACOM
258, Boonville Stage Line
259,Saint Vincent and the Grenadines
260,SWISSBIRD
261,Yemen
262,Tajikistan
263,AEROSOL
264,Saint Kitts and Nevis
265,VELES
266,Cote d'Ivoire
267,Unknown
268,Burma
269,South Korea
270,Guadeloupe
271,Congo (Kinshasa)
272,Syria
273,American Samoa
274,British Virgin Islands
275,Puerto Rico
276,Congo (Brazzaville)
277,South Sudan
