Country_ID,Country
1,Albania
2,Andorra
3,Argentina
4,Armenia
5,Australia
6,Austria
7,Azerbaijan
8,Belgium
9,Bermuda
10,Bosnia and Herzegovina
11,Belarus
12,Bolivia
13,Brazil
14,Bulgaria
15,Canada
16,Chile
17,People's Republic of China
18,Colombia
19,Korea
20,Croatia
21,Cyprus
22,Czech Republic
23,Denmark
24,Ecuador
25,Eritrea
26,Spain
27,Estonia
28,Finland
29,France
30,Great Britain
31,Georgia
32,Germany
33,Ghana
34,Greece
35,"Hong Kong, China"
36,Hungary
37,India
38,Islamic Republic of Iran
39,Ireland
40,Iceland
41,Israel
42,Italy
43,Jamaica
44,Japan
45,Kazakhstan
46,Kenya
47,Kyrgyzstan
48,Republic of Korea
49,Kosovo
50,Latvia
51,Lebanon
52,Liechtenstein
53,Lithuania
54,Luxembourg
55,Madagascar
56,Morocco
57,Malaysia
58,Republic of Moldova
59,Mexico
60,Mongolia
61,The Former Yugoslav Republic of Macedonia
62,Malta
63,Montenegro
64,Monaco
65,Netherlands
66,Nigeria
67,Norway
68,New Zealand
69,Olympic Athlete from Russia
70,Pakistan
71,Philippines
72,Poland
73,Portugal
74,Democratic People's Republic of Korea
75,Puerto Rico
76,Romania
77,South Africa
78,Singapore
79,Slovenia
80,San Marino
81,Serbia
82,Switzerland
83,Slovakia
84,Sweden
85,Tonga
86,Thailand
87,Democratic Republic of Timor-Leste
88,Togo
89,Chinese Taipei
90,Turkey
91,Ukraine
92,United States of America
93,Uzbekistan
