name,id,location,followers_count
TylerGalpin,14110750,"San Francisco, CA",10056
shyamagolden,77175478,"Brooklyn, NY",3848
benjamn,8630562,"iPhone: 37.420708,-122.168798",2921
debsbluskyz,50487248,,79
biancayvonne,15775707,seattle,1069
pasql,187793,"New York, NY",20434
LukesBeard,17076876,"Atlanta, GA",12311
ccheever,4653371,"Palo Alto, CA",14904
syropian,23305365,"Toronto, Canada",1333
mh,9319082,"New York, NY",20320
fabrahamlincoln,137877410,NYC,1138
triketora,19556080,nyc via sf,66954
gggritso,80972407,"Toronto, Canada",226
timtrueman,10273252,,5760
timtrueman|10273252||5760,,,
