User_id,Screen_name,Description,Friends_count,Statuses_count,favorite_count,location
897689606895828000,ruthieyakubu,"Sr. Cloud Developer Advocate @MICROSOFT - specializing in #Cloud, #Java, #AI & #ML.  Tech Speaker.  Founder https://t.co/4awTfvzyfM",967,138,838,"New York, NY"
1057282980,yayaaa210,Candy baby. Dancing. DC fan. Check this https://t.co/B2ZOH82IYN,279,29,210,
2808577839,FashNerd,"FashNerd, A Digital Magazine Escalating the Adoption of #Wearables by Translating Technology with a Fashion Voice. Join the #FashionTech conversation.",64345,11959,29463,London
2220338574,BezalelPower,Wireless Power. Anytime. Anywhere.  Click the link below to Level Up with #wirelesscharging ⚡️,18804,2260,2520,"Los Angeles, CA"
2218875842,XenaZeitgeist,White-Haired Stripper on @ClawsTNT • Creator/HBIC at Xena Zeit-Geist Productions & The Society of Sin Burlesque & Variety @thesocietyofsin,728,4994,8287,"New Orleans, LA"
105693576,1982sek,Sem engineer,2343,1062,852,
1262776610,IAmJeffEmmerson,"A Grateful Human Being Who Turned His Life Around ● #MentalHealth Advocate ● Author of Beyond #ADHD ● Driven to Empower, Support & Inspire!",652556,30718,43915,Toronto/Florida
2825422463,AliceTheElder,Nerd. Book-reader and collector. Software developer.,451,35,257,
1380637447,snopek308,7th Grade World Geography Teacher. Bookworm.  A mover and shaker.  Crafter.  Return with Honor.,694,979,2439,"Wisconsin, USA"
3040705360,ravzzz_,final year computing student/cake enthusiast/incoming tech grad @santanderuk,224,100,442,"London, England"
69368259,emilymaxie,"Tech marketer at @very_possible. Intensely curious, and addicted to trying new things. Passionate about #womenintech. Working to #changetheratio.",1504,2571,5864,Tennessee
2445761198,jenntacheff,"Tech nerd, do-gooder, feminist. Adept at wordsmithery, making things happen and general badassery. VP @WomenWhoCode. Tweets are my own",1322,549,7247,San Francisco
18573995,shegeeksout,"Fostering #diversity and #inclusion through events, networking and education. Certified #BCorp",1923,4689,3517,"Boston, NYC, SF, and beyond"
1242966362,biznewske,Business blog with a focus and interest on top business news in Kenya and the region.,2864,5561,1748,"Nairobi, Kenya"
1859550606,WendyRTyree,"Chemistry student, tutor, Unitarian Universalist, proponent of green living and eating.",100,0,0,"La Jolla, CA"
965928875632005000,michaelb2jordan,,3811,16,0,
78613092,Staples,Together we make the workplace work.,25678,291425,7887,"Framingham, MA"
62944815,aysieLulu,Army Brat 🇺🇸,382,307,1495,"Central coast, CA"
776945913902182000,kaeov08,"American Studies and Gender Studies Teacher at Punahou School, PhD in Education with emphasis on boys and masculinity, p4c, coach basketball and football",323,45,619,"Honolulu, HI"
964218846784598000,406Repair,"Billings Montana based cell phone repair store. We offer the best prices on all your cell phone/computer/tablet repairs. We are also funny, believe me.",333,0,0,"Billings, MT"
963108902958190000,marenislijaNews,,1246,343,85,
804048599071879000,jatona_harvey,Follow me on Instagram: mzzharvey..SC: mztoosexy4u Fb: Jatona Harvey..Triller: mzsexyredd.. Email: mzzharvey86@gmail.com,3188,78,105,Houston tx
2577605024,L_WonderWoman,"Wonder Woman is my hero. I also like writing, editing, reading, video games, and long sleeps in my bed.",283,136,159,"Georgia, USA"
2774095921,tulipinterfaces,Tulip brings people and machines together to move manufacturing forward. 👩‍🏭🏭👨‍🏭,465,273,112,"Somerville, MA"
128714036,fuad_2000,"My love for you is like the raging sea,So powerful and deep it will forever be.Through storm, wind, and heavy rain,It will withstand every pain.❤️😍🦅",27204,5063,152,Jeddah🦅
3018711900,vaeda,Music can change Hearts \/ Hearts can change Minds /\ Minds can change the World \/ Subscribe - https://t.co/tlGh5BUbTB /\ Download - https://t.co/vm07kJKvWW,9149,265,278,Defunctistan
948971205255720000,LLRTheWilliams,#LuLaRoe #Tops #Dresses #Skirts #Kimonos #Leggings #Fashion #OnlineShopping #LuLaRoeClarissaWilliams 📷: lularoesimplycomfortablevip,1253,17,0,
950016475623964000,vlouiseandrews,,51,2,0,
121221103,clanger09,We the North - Who Dat - Whatever St. Louis Cards fans say - LGB,1279,2855,462,"St Louis, MO"
930488672540966000,lexa_hall,,74,16,78,"San Luis Obispo, CA"
899640903932928000,CarlAiwoit,,137,0,6,
