id,date,start(ET),visitor,pts(visitor),home,pts(home),attend
0,"Tue, Oct 17, 2017",20:01,Boston Celtics,99,Cleveland Cavaliers,102,"20,562"
1,"Tue, Oct 17, 2017",22:30,Houston Rockets,122,Golden State Warriors,121,"19,596"
2,"Wed, Oct 18, 2017",19:30,Milwaukee Bucks,108,Boston Celtics,100,"18,624"
3,"Wed, Oct 18, 2017",20:30,Atlanta Hawks,117,Dallas Mavericks,111,"19,709"
4,"Wed, Oct 18, 2017",19:00,Charlotte Hornets,90,Detroit Pistons,102,"20,491"
5,"Wed, Oct 18, 2017",19:00,Brooklyn Nets,131,Indiana Pacers,140,"15,008"
6,"Wed, Oct 18, 2017",20:00,New Orleans Pelicans,91,Memphis Grizzlies,103,"17,794"
7,"Wed, Oct 18, 2017",19:00,Miami Heat,109,Orlando Magic,116,"18,846"
8,"Wed, Oct 18, 2017",22:00,Portland Trail Blazers,124,Phoenix Suns,76,"18,055"
9,"Wed, Oct 18, 2017",22:00,Houston Rockets,105,Sacramento Kings,100,"17,583"
10,"Wed, Oct 18, 2017",21:30,Minnesota Timberwolves,99,San Antonio Spurs,107,"18,418"
11,"Wed, Oct 18, 2017",21:00,Denver Nuggets,96,Utah Jazz,106,"17,588"
12,"Wed, Oct 18, 2017",19:00,Philadelphia 76ers,115,Washington Wizards,120,"20,356"
13,"Thu, Oct 19, 2017",22:30,Los Angeles Clippers,108,Los Angeles Lakers,92,"18,997"
14,"Thu, Oct 19, 2017",20:00,New York Knicks,84,Oklahoma City Thunder,105,"18,203"
15,"Thu, Oct 19, 2017",19:30,Chicago Bulls,100,Toronto Raptors,117,"19,800"
16,"Fri, Oct 20, 2017",19:30,Orlando Magic,121,Brooklyn Nets,126,"16,144"
17,"Fri, Oct 20, 2017",19:00,Atlanta Hawks,91,Charlotte Hornets,109,"18,417"
18,"Fri, Oct 20, 2017",20:30,Sacramento Kings,93,Dallas Mavericks,88,"19,273"
