id,created_at,hashtags,game
6,2018-04-18 01:01:43,gamergate,Counter-Strike
10,2018-04-18 00:58:24,csgo,Counter-Strike
12,2018-04-18 00:47:52,foxplayer,Counter-Strike
49,2018-04-17 23:48:41,Gaming,Counter-Strike
58,2018-04-17 23:36:50,twitchkittens,Counter-Strike
58,2018-04-17 23:36:50,SupportSmallStreamers,Counter-Strike
59,2018-04-17 23:33:51,OurCurse,Counter-Strike
63,2018-04-17 23:30:30,OurCurse,Counter-Strike
101,2018-04-14 20:56:58,left,Left 4 Dead
102,2018-04-13 03:00:03,Left,Left 4 Dead
102,2018-04-13 03:00:03,Dead,Left 4 Dead
102,2018-04-13 03:00:03,Steam,Left 4 Dead
103,2018-04-12 15:45:05,Left,Left 4 Dead
103,2018-04-12 15:45:05,Dead,Left 4 Dead
104,2018-04-11 22:10:05,Left,Left 4 Dead
104,2018-04-11 22:10:05,Dead,Left 4 Dead
105,2018-04-09 21:10:06,Left,Left 4 Dead
105,2018-04-09 21:10:06,Dead,Left 4 Dead
106,2018-04-08 19:25:05,Left,Left 4 Dead
106,2018-04-08 19:25:05,Dead,Left 4 Dead
107,2018-04-17 23:44:08,europe,Dota 2
107,2018-04-17 23:44:08,dota,Dota 2
108,2018-04-17 23:43:43,DOTA,Dota 2
109,2018-04-17 23:41:09,DOTA,Dota 2
110,2018-04-17 22:46:48,europe,Dota 2
110,2018-04-17 22:46:48,dota,Dota 2
111,2018-04-17 21:43:48,DOTA,Dota 2
112,2018-04-17 20:51:18,DOTA,Dota 2
113,2018-04-17 20:43:44,DOTA,Dota 2
114,2018-04-17 20:36:18,DOTA,Dota 2
116,2018-04-17 17:33:59,dota,Dota 2
116,2018-04-17 17:33:59,dota2,Dota 2
118,2018-04-17 16:43:46,DOTA,Dota 2
119,2018-04-17 16:43:44,DOTA,Dota 2
120,2018-04-17 16:31:09,DOTA,Dota 2
121,2018-04-17 15:46:52,DOTA,Dota 2
122,2018-04-17 15:43:47,DOTA,Dota 2
123,2018-04-17 14:51:16,DOTA,Dota 2
124,2018-04-17 14:43:46,DOTA,Dota 2
125,2018-04-17 14:01:38,DOTA,Dota 2
126,2018-04-17 13:43:54,DOTA,Dota 2
127,2018-04-17 13:43:46,Dota,Dota 2
128,2018-04-17 13:43:04,dota,Dota 2
128,2018-04-17 13:43:04,dota2,Dota 2
129,2018-04-17 13:41:58,Dota,Dota 2
130,2018-04-17 13:36:10,DOTA,Dota 2
133,2018-04-17 12:56:33,DOTA,Dota 2
134,2018-04-17 12:54:59,DOTA,Dota 2
135,2018-04-17 12:43:54,dota2plus,Dota 2
135,2018-04-17 12:43:54,dota2plus,Dota 2
135,2018-04-17 12:43:54,ileague,Dota 2
135,2018-04-17 12:43:54,sltv,Dota 2
136,2018-04-17 12:43:43,DOTA,Dota 2
137,2018-04-17 12:31:12,DOTA,Dota 2
138,2018-04-17 12:07:06,dota2plus,Dota 2
138,2018-04-17 12:07:06,dota2plus,Dota 2
138,2018-04-17 12:07:06,ileague,Dota 2
139,2018-04-17 11:43:47,dota,Dota 2
139,2018-04-17 11:43:47,dota2,Dota 2
140,2018-04-17 10:57:25,dota,Dota 2
140,2018-04-17 10:57:25,dota2,Dota 2
141,2018-04-17 10:43:52,ESLAUNZ,Dota 2
141,2018-04-17 10:43:52,DOTA,Dota 2
142,2018-04-17 10:34:46,ESLAUNZ,Dota 2
142,2018-04-17 10:34:46,DOTA,Dota 2
143,2018-04-17 10:33:22,ESLAUNZ,Dota 2
143,2018-04-17 10:33:22,DOTA,Dota 2
144,2018-04-17 09:43:58,GLHF,Dota 2
144,2018-04-17 09:43:58,TRIDENT,Dota 2
144,2018-04-17 09:43:58,ESLAUNZ,Dota 2
