id,created_at,tweets,user_id,user_location,retweet_count,Urls,Media,game
6,2018-04-18 01:01:43,Counter-Strike Nexon: Zombies encourages homosexuality #gamergate,777719679691259904,games bad,0,[],,Counter-Strike
10,2018-04-18 00:58:24,#csgo godazed just went live on Twitch https://t.co/YLrFsxWtHG,724661760565850112,,0,"[{'url': 'https://t.co/YLrFsxWtHG', 'expanded_url': 'http://bit.ly/cs-streams', 'display_url': 'bit.ly/cs-streams', 'indices': [39, 62]}]",,Counter-Strike
12,2018-04-18 00:47:52,"#foxplayer  vean algo sobre counter strike global offensive, es de lo mejor!!",4486577236,,0,[],,Counter-Strike
49,2018-04-17 23:48:41,1/ You know what I miss about old school #Gaming on a PC? Dedicated servers in games like Unreal Tournament or Quak… https://t.co/AM59HcYqKX,775200912780333057,"California, USA",0,"[{'url': 'https://t.co/AM59HcYqKX', 'expanded_url': 'https://twitter.com/i/web/status/986391025663881221', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]",,Counter-Strike
58,2018-04-17 23:36:50,"RT @Sacrificedeh: Going live for a little bit with Counter strike GO! https://t.co/Lp2pUEu5xQ 
#twitchkittens 
#SupportSmallStreamers 
#Sup…",741241356,,3,"[{'url': 'https://t.co/Lp2pUEu5xQ', 'expanded_url': 'https://www.twitch.tv/sacrificedeh', 'display_url': 'twitch.tv/sacrificedeh', 'indices': [70, 93]}]",,Counter-Strike
58,2018-04-17 23:36:50,"RT @Sacrificedeh: Going live for a little bit with Counter strike GO! https://t.co/Lp2pUEu5xQ 
#twitchkittens 
#SupportSmallStreamers 
#Sup…",741241356,,3,"[{'url': 'https://t.co/Lp2pUEu5xQ', 'expanded_url': 'https://www.twitch.tv/sacrificedeh', 'display_url': 'twitch.tv/sacrificedeh', 'indices': [70, 93]}]",,Counter-Strike
59,2018-04-17 23:33:51,RT @CursedAscension: Introducing Cursed Counter Strike. #OurCurse https://t.co/xDNIRWKBuX,1873945513,"New Jersey, USA",54,[],"[{'id': 986002820779327490, 'id_str': '986002820779327490', 'indices': [66, 89], 'media_url': 'http://pbs.twimg.com/media/Da78V2gVwAIn7sw.png', 'media_url_https': 'https://pbs.twimg.com/media/Da78V2gVwAIn7sw.png', 'url': 'https://t.co/xDNIRWKBuX', 'display_url': 'pic.twitter.com/xDNIRWKBuX', 'expanded_url': 'https://twitter.com/CursedAscension/status/986014111640236032/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}}, 'source_status_id': 986014111640236032, 'source_status_id_str': '986014111640236032', 'source_user_id': 708644083221172226, 'source_user_id_str': '708644083221172226'}]",Counter-Strike
63,2018-04-17 23:30:30,RT @CursedAscension: Introducing Cursed Counter Strike. #OurCurse https://t.co/xDNIRWKBuX,3316336172,Cursed House,54,[],"[{'id': 986002820779327490, 'id_str': '986002820779327490', 'indices': [66, 89], 'media_url': 'http://pbs.twimg.com/media/Da78V2gVwAIn7sw.png', 'media_url_https': 'https://pbs.twimg.com/media/Da78V2gVwAIn7sw.png', 'url': 'https://t.co/xDNIRWKBuX', 'display_url': 'pic.twitter.com/xDNIRWKBuX', 'expanded_url': 'https://twitter.com/CursedAscension/status/986014111640236032/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}}, 'source_status_id': 986014111640236032, 'source_status_id_str': '986014111640236032', 'source_user_id': 708644083221172226, 'source_user_id_str': '708644083221172226'}]",Counter-Strike
101,2018-04-14 20:56:58,Bill Overbec #left 4 dead# https://t.co/e6sx9I5R2N,984909333736632320,United States,0,[],"[{'id': 985260642767552512, 'id_str': '985260642767552512', 'indices': [27, 50], 'media_url': 'http://pbs.twimg.com/media/DaxZVZ9VQAA3AdC.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DaxZVZ9VQAA3AdC.jpg', 'url': 'https://t.co/e6sx9I5R2N', 'display_url': 'pic.twitter.com/e6sx9I5R2N', 'expanded_url': 'https://twitter.com/Lucarioc1371/status/985260649562374145/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1024, 'h': 1024, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 1024, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}}}]",Left 4 Dead
102,2018-04-13 03:00:03,"Left 4 Dead - Turtle Rock's last unfinished Left 4 Dead campaign is now available to play
https://t.co/Ny5YKCt87E
#Left #4 #Dead #Steam",2735559156,,0,"[{'url': 'https://t.co/Ny5YKCt87E', 'expanded_url': 'https://envul.com/gu/23893/', 'display_url': 'envul.com/gu/23893/', 'indices': [90, 113]}]",,Left 4 Dead
