,date,hashtag_created_time,hashtags,production_house,story
0,2018-04-26,2018-04-26 12:30:02,InfinityWar?,Marvel,"Want tickets to Marvel Studios' Avengers: #InfinityWar? Enter Synchrony’s Lucky Number 9 #Sweepstakes for the chance to win tickets to the movie. Click here: https://gosyf.com/2qVRbuv #ad
 
NO PURCHASE NECESSARY. Void where prohibited. Open to US residents, 18+. Begins 4/22/18 at 12:00AM ET and ends 4/30/18 at 11:59PM ET. Subject to full rules available: https://gosyf.com/2qVRbuv"
1,2018-04-25,2018-04-25 22:16:40,InfinityWar,Marvel,It’s all been leading to this. Avengers: #InfinityWar #DoctorStrange
2,2018-04-25,2018-04-25 20:47:34,"800,",Marvel,"Classic meets modern in these ten variant covers for ""Amazing Spider-Man"" #800, on sale May 30! View the gallery now:"
3,2018-04-26,2018-04-26 15:31:59,HotelT3,SONYPicturesAnimation,Happy Birthday to Hotel Transylvania’s Kevin James! #HotelT3 ?
4,2018-04-24,2018-04-24 17:51:50,CinemaCon2018,SONYPicturesAnimation,"Miles Morales steps into the spotlight at #CinemaCon2018 with producers Phil Lord, Chris Miller and star Shameik Moore. #SpiderVerse"
5,2018-04-22,2018-04-22 16:00:01,EarthDay,SONYPicturesAnimation,"Lift our planet up, today and every day! Happy #EarthDay from #SmurfsMovie ?"
6,2018-04-17,2018-04-17 16:56:42,BatAppreciationDay,SONYPicturesAnimation,Happy #BatAppreciationDay to all our winged friends! #HotelT3 ???
7,2018-04-24,2018-04-24 13:00:46,FiftyShadesFreed,universalstudiosentertainment,"Don't miss the climax - Own the final chapter. 
Get #FiftyShadesFreed Unrated on iTunes  TODAY.
http://www.fiftyshadesmovie.com/"
8,2018-04-23,2018-04-23 18:55:00,TheMostIndestructibleManInTheWorld,universalstudiosentertainment,"""Always vigilant my friends..."" See #TheMostIndestructibleManInTheWorld in Tremors: A Cold Day in Hell on Blu-ray, DVD & Digital May 1 http://uni.pictures/Tremors6"
9,2018-04-23,2018-04-23 01:00:58,WasteLess,universalstudiosentertainment,"A good chef knows how to use all parts of their ingredients. #WasteLess food by just 15% and you can help feed 25 million Americans a year. #EarthInspiresMe @greenisuniversal
Visit http://www.greenisuniversal.com to learn more."
10,2018-04-22,2018-04-22 22:01:06,EarthDay,universalstudiosentertainment,Riding a bike is a more eco-friendly alternative that could save 150 million pounds of CO2 emissions per year. That’s equivalent to planting a forest 1.3 times the size of Manhattan. Join @greenisuniversal this #EarthDay in protecting the world we love. #EarthInspiresMe Visit http://www.greenisuniversal.com to learn more.
