,tags,counts
0,tomcruise,407708
1,tomcruisefan,2045
2,tomcruiseforever,1463
3,tomcruiser,1269
4,tomcruiseteam,892
5,tomcruisemovie,784
6,tomcruiseedit,390
7,tomcruiselookalike,666
8,tomcruisefans,289
9,tomcruiselovers,322
10,tomcruisewho,239
11,tomcruise_suricruise,471
12,tomcruisetuesday,284
13,tomcruisefanclub,234
14,tomcruisestyle,276
15,tomcruisers,303
16,tomcruisewannabe,199
17,tomcruiseitous,216
18,tomcruiselover,206
19,tomcruisemovies,154
20,tomcruiseactor,174
21,tomcruisewashere,144
22,tomcruiseeatyourheartout,256
23,tomcruise?,119
24,tomcruiseriskybusiness,145
25,tomcruiseofficial,112
26,tomcruisecocktail,110
0,angelinajolie,399963
1,angelinajoliepitt,989682
2,angelinajolievoight,10871
3,angelinajolielips,18191
4,angelinajoliefans,12552
5,angelinajolievideo,3892
6,angelinajolieofficial,2700
7,angelinajoliefanpage,57823
8,angelinajolieandbradpitt,32632
9,angelinajoliequeen,48331
10,angelinajoliephoto,30766
11,angelinajoliestyle,30766
12,angelinajolielookalike,18090
13,angelinajoliefan,27602
14,angelinajolieaddictz,14603
15,angelinajolieleg,13195
16,angelinajolieph,1201
17,angelinajoliepittoriginal,8921
18,angelinajolievioght,7222
19,angelinajoliedrawing,7954
20,angelinajolieteam,6034
21,angelinajolietattoo,128161
22,angelinajolieedit,4063
23,angelinajolielove,3716
24,angelinajolieart,120614
25,angelinajoliequotes,3904
26,angelinajoliemovies,4237
27,angelinajolie_unhcr,3463
28,angelinajoliemagazines,3751
29,angelinajoliemaleficent,2438
30,angelinajoliemovie,2500
31,angelinajoliemakeup,3011
32,angelinajoliearmy,2633
33,angelinajoliequote,2566
34,angelinajolie_lovee,921
35,angelinajolielatino,2810
36,angelinajolie__iran,3061
37,angelinajoliebrasil,2515
38,angelinajoliehero,2438
39,angelinajoliefanclub,2134
40,angelinajoliebradpitt,1065
41,angelinajoliepose,2641
42,angelinajolienews,2565
43,angelinajoliesmile,1657
44,angelinajoliefanart,2267
45,angelinajoliewannabe,2267
46,angelinajoliewedding,2145
47,angelinajoliefamily,37534
48,angelinajolieofdogs,2312
49,,2001
0,christophernolan,162146
1,christophernolanfilm,923
2,christophernolanmovie,160
3,christophernolans,180
4,christophernolanmovies,111
5,christophernolanbatman,114
6,christophernolanrules,76
7,christophernolanphotography,126
8,christophernoland,125
9,christophernolanseries,62
10,christophernolanisagenius,46
11,christophernolan11,104
12,christophernolantrilogy,41
13,christophernolanfilms,48
14,christophernolancollection,40
15,christophernolanfan,24
16,christophernolandsalon,24
17,christophernolanofficial,19
18,christophernolansbatman,19
19,christophernolanisgod,13
20,christophernolansdunkirk,16
21,christophernolann,15
22,christophernolandunkirk,13
23,christophernolanfans,13
24,christophernolandoesitagain,4
25,christophernolanisagod,6
26,christophernolanisabeast,7
27,christophernolanbatmantrilogy,12
28,christophernolanseason,10
29,christophernolanmarathon,8
30,christophernolanforthewin,8
31,christophernolanquotes,7
32,christophernolanfanboy,3
33,chr?stophernolan,2
34,christophernolanrocks,1
35,christophernolanfanclub,5
36,christophernolanisaboss,5
37,christophernolaninsomnia,6
38,christophernolanismyhero,3
39,christophernolanftw,2
40,christophernolan_ttc,6
41,christophernolanshit,2
42,christophernolanweek,0
43,christophernolangenius,2
44,christophernolanfilmfan,4
45,christophernolanhairdesign,1
46,christophernolanisawesome,1
47,christophernolansucks,3
48,christophernolandiditagain,2
49,christophernolan4kcollection,3
0,asguard,5013
1,asguardian,1573
2,asguardiãs,113
3,asguardians,155
4,asguardianrp,110
5,asguardgym,0
6,asguardias,51
7,asguardiansofthegalaxy,43
8,asguardianedits,26
9,asguardianfit,22
10,asguardpass,11
11,asguardaredes,18
12,asguardarmy,15
13,asguardas,4
14,asguardianbrothers,21
15,asguardiancatbros,18
16,asguardiasdeibarama,14
17,asguardianassassin,12
18,asguardiasdoslivros,10
19,asguardianangel,8
20,asguardsouthampton,7
21,asguard503,8
22,asguardinhas,5
23,asguardcity,7
24,asguardsassassin,6
25,asguardianstorm,5
26,asguardiandynasty,0
27,asguardianwarrior,3
28,asguardacostas,1
29,asguardisdead,3
