"word";"total"
"Lue";397
"Tyronn";394
"to";151
"start";107
"the";103
"be";70
"LeBron";70
"coach";63
"lue's";60
"wants";60
"Green";59
"a";58
"is";57
"Jeff";56
"aggressive";53
"from";52
"decision";51
"more";49
"in";48
"#Cavs";44
"for";44
"he";44
"at";42
"@ChrisFedor:";40
"Just";38
"and";35
"fired";31
"has";30
"Game";29
"got";29
"getting";28
"like";28
"Cavaliers";27
"playoff";26
"his";25
"what";25
"@itsmezachlee:";24
"about";24
"halftime'";24
"of";22
"on";22
"that";22
"best";21
"head";21
"physical";21
"says";21
"when";21
"We\'ve""";20
"@NBATV:";20
"know";19
"knows";19
"Playoffs:";19
"@BenAxelrod:";18
"Cavs";18
"fire";18
"let";18
"me";18
"This";18
"Someone";17
"will";17
"lineup";16
"Lue:";16
"our";16
"This""";15
"You""";15
"can\'t";15
"ease";15
"Lue,";15
"rocks";15
"time";15
"why";15
"worry";15
"Don\'t""";14
".@cavs";14
"@BetTheGreek:";14
"@Clipppers324:";14
"@espn";14
"@FOXSportsOH:";14
"@RetailTuesday:";14
"Love";14
"not";14
"should";14
"are";13
"by";13
"I";13
"was";13
"where";13
"@spenc_foe:";12
"always";12
"hard";12
"horrible";12
"It\xe2\x80\x99s";12
"James";12
"Kevin";12
"said";12
"understand";12
"if";11
"Lue'";11
"night";11
"worst";11
"";10
"backfires";10
"decisions";10
"good";10
"makes";10
"you";10
"#AllForOne\n\nhttps://t.co/oreCGzXjHs'";9
"@JagannathMrtn:";9
"@RuiterWrongFAN:";9
"@theJay_Show:";9
"after";9
"changes.";9
"Korver";9
"Look";9
"need";9
"Nows";9
"Pacers";9
"potential";9
"@CavsNationNet:";8
"@realCavsTrump:";8
"all";8
"but";8
"changes";8
"get";8
"Sloppy";8
"so";8
"take";8
"We";8
"2;";7
"@cavs";7
"Cavaliers'";7
"coaches";7
"come";7
"defense";7
"down";7
"going";7
"gonna";7
"have";7
"How";7
"James,";7
"looking";7
"needs";7
"No";7
"out";7
"saw";7
"see";7
"They";7
"with";7
"'totally";6
"-";6
"chance";6
"Cleveland";6
"contemplating";6
"cuts";6
"had";6
"it";6
"its";6
"Kyle";6
"Larry";6
"lost";6
"might";6
"ranking";6
"team";6
"there\xe2\x80\x99s";6
"vows";6
"@923TheFan:";5
"@joevardon:";5
"@ZackBlatt:";5
"am";5
"another";5
"as";5
"coaching";5
"Drew";5
"exposed";5
"first";5
"gotta";5
"immediately'";5
"leave";5
"LeBron:";5
"LeBron\xe2\x80\x99s";5
"looks";5
"post";5
"really";5
"round";5
"Still";5
"stop";5
"streak";5
"#Cavaliers";4
"@YouTube";4
"@_joenick22_:";4
"absolutely";4
"been";4
"before";4
"big";4
"decided";4
"do";4
"don't";4
"don\xe2\x80\x99t";4
"him";4
"liked";4
"lmao";4
"lue\xe2\x80\x99s";4
"Man";4
"must";4
"mystified";4
"Nate";4
"NBA";4
"playing";4
"playoffs";4
"practice";4
"terrible";4
"today.";4
"up";4
"video";4
"were";4
"who";4
"\nHe";4
"&amp;";3
"(Cleveland";3
"1";3
"10-man";3
"2018:";3
"@BrianDulik:";3
"@Jetlife_710:";3
"@NBA";3
"ass";3
"back";3
"because";3
"bench";3
"BITCH";3
"BLASTS";3
"Bruh";3
"coach'";3
"David";3
"day";3
"doesn't";3
"doesn\xe2\x80\x99t";3
"ends";3
"even";3
"felt";3
"Fired'";3
"from\xc2\xa0LeBron";3
"FUCK";3
"gets";3
"go";3
"guy";3
"guys";3
"he's";3
"He\xe2\x80\x99s";3
"lose";3
"LUE!!!!!!";3
"Lue.";3
"Lue.'";3
"make";3
"needed";3
"news:";3
"NIGGA";3
"over";3
"reportedly";3
"Sad";3
"season";3
"series";3
"sick";3
"SIT";3
"some";3
"think";3
"through";3
"trash";3
"true!";3
"want";3
"which";3
"win";3
"\xf0\x9f\x98\x82'";3
"#Cavs\xe2\x80\x99";2
"(Tyronn";2
"0";2
"10";2
"100%";2
"@CallHimJHall:";2
"@clevelanddotcom:";2
"@Pacers";2
"@realSportsTrump";2
"@Thomasthetank24:";2
"@TommyG:";2
"@_Mikyy_:";2
"actually";2
"admit";2
"all'";2
"am,";2
"an";2
"apparently";2
"asked";2
"ball";2
"basketball";2
"beating";2
"better";2
"Billy";2
"black";2
"blame";2
"Blatt";2
"Brett";2
"call";2
"came";2
"can";2
"can\xe2\x80\x99t";2
"career";2
"Cavs'";2
"change";2
"charging";2
"clueless";2
"coach.";2
"Continues";2
"cut";2
"defensive";2
"does";2
"doing";2
"earned";2
"end";2
"ESPN";2
"expecting";2
"fake";2
"Film/walk";2
"following";2
"fucking";2
"going,";2
"grayed";2
"hair";2
"hate";2
"HC-";2
"Hey";2
"History'";2
