"-1VaIJza42Hjev6ukacCNg","""Rio Mirage Cafe Y Cantina""",,"""12245 W Santa Fe Dr""","El Mirage","AZ","85335","33.6174356","-112.3242972","4.0","176","1","Restaurants;Mexican;Tex-Mex"
"-1xCh7Cocn6IwFzhELyohA","""Jose' and Tony's Mexican Restaurant""","Dormont","""1573 McFarland Rd""","Pittsburgh","PA","15216","40.3932623","-80.0458648","2.5","37","1","Nightlife;Restaurants;Mexican;Sports Bars;Bars"
"-2EAyppKR_2xuLyvJZEbRQ","""Burrito Burrito""","Liberty Village","""171 E Liberty Street, Unit 131""","Toronto","ON","M6K 3P6","43.63837","-79.4184338","2.5","18","0","Mexican;Tex-Mex;Restaurants"
"-2isRNVb6PDuBagELL5EBw","""Taco Bell""",,"""3507 W. Peoria Ave.""","Phoenix","AZ","85029","33.5817130927","-112.135900766","3.0","20","1","Fast Food;Restaurants;Tex-Mex;Mexican"
"-2q4dnUw0gGJniGW2aPamQ","""Fiesta Ranchera""",,"""1805 S Neil St""","Champaign","IL","61820","40.0940675","-88.2457853","2.0","4","0","Mexican;Restaurants"
"-4TVAE4KcLWVSXO2rOsVEg","""Pitaya Maya""","Pierrefonds-Roxboro","""4720 Boulevard Saint-Jean""","Montréal","QC","H9H 5G9","45.4882021","-73.8497857","2.5","3","0","Restaurants;Mexican"
"-5dd-RjojGVK9hjAMCXVZw","""La Fiesta Mexican Restaurant""",,"""1717 Philo Rd""","Urbana","IL","61802","40.096510146","-88.1920049885","3.0","13","0","Mexican;Restaurants"
"-6c23X5Qf922FmsX_QHFqg","""Burreatos""","Neue Vorstadt","""Hospitalstr. 19""","Stuttgart","BW","70174","48.7773136","9.1730755","4.0","26","1","Restaurants;Mexican"
"-6tvduBzjLI1ISfs3F_qTg","""Joyride Taco House""",,"""302 N Gilbert Rd""","Gilbert","AZ","85234","33.3549550783","-111.78972993","4.0","958","1","Bars;Mexican;Restaurants;Nightlife"
"-AtzcXIwEP6yO7rM9CM9ww","""Mexico City""","Downtown","""111 Smithfield St""","Pittsburgh","PA","15222","40.4375833","-80.000437","4.0","36","0","Mexican;Restaurants"
"-bMZCfTK7fxFaURynKpBMA","""Mariscos Playa Hermosa""",,"""1605 E Garfield St""","Phoenix","AZ","85006","33.4575086","-112.047312","4.5","442","1","Restaurants;Mexican;Latin American;Seafood"
"-Bo1rsE6Mfn0wdqnIj3GSA","""Taquizas Kabronis""",,"""15645 N 35th Ave""","Phoenix","AZ","85053","33.6284285","-112.1311681","4.5","3","1","Mexican;Food;Street Vendors;Restaurants;Tacos"
"-BplplCOayCupKnRVZcclw","""Moe's Southwest Grill""",,"""1497 Concord Pkwy""","Concord","NC","28026","35.439607","-80.607247","2.5","13","1","Tex-Mex;Mexican;Restaurants"
"-cKjQJsU73tLKFA4unJbww","""QDOBA Mexican Eats""","Bloomfield","""4815 Centre Ave""","Pittsburgh","PA","15213","40.4535887305","-79.9472308159","3.0","18","1","Restaurants;Mexican;Fast Food;Caterers;Event Planning & Services"
"-cxD1NimFldATDUsN-oa3A","""Coasta Cantina""",,"""4500 W Tropicana Ave""","Las Vegas","NV","89103","36.102737","-115.202016","2.0","23","0","Restaurants;Mexican"
"-DcE_4T0_iRKGLARmjsjUw","""El Ranchero Of Traditional Mexican Food""",,"""3030 N 68th St""","Scottsdale","AZ","85251","33.4827129922","-111.934992671","4.0","26","0","Bars;Mexican;Restaurants;Local Flavor;Nightlife"
