original,mis1,mis2,mis3
49-degrees-north-mountain-resort,,mousfa,49degree
abenaki,abenak,,
afton-alps,afton-al,,
al-quaal,al quaa,,
aldis-hill-park-st-albans,aldis hill,,
alpenglow-at-arctic-valley,ball,alpenglow,
alpental,,,
alpine-meadows,alpoin,meadow,
alpine-mountain-ski-snow-tubing-center,,,
alpine-valley-cleveland,cleveland,,
alpine-valley-resort-elkhorn,elkhown,,
alpine-valley-white-lake,white lake,,
alta,,,
alta-sierra-shirley-meadows,,,
alyeska-resort-girdwood,,,
american-dream-meadowlands-east-rutherford,,,
andes-tower-hills,andes-towr,,
angel-fire,angel fire,angel fiire,angel-fiire
antelope-butte,antelope,,
anthony-lakes-mountain-resort,,,
apache,apacche,,
appalachian-ski-mountain,,,
apple-mountain,,,
arapahoe-basin,arapahow,,
arizona-snowbowl,snow,,
aspen-highlands,highlands,,
aspen-mountain,,,
attitash-mountain-resort,,,
ausblick-sussex,,,
badger-mountain,,,
badger-pass,,,
bald-mountain,,,
bald-mountain-sun-valley,,,
bear-creek-mountain-resort,lynna creek,,
bear-mountain-big-bear-lake,,,
bear-paw-ski-bowl,,,
bear-valley,,,
bearfire-resort-dallas-fort-worth-planned,,,
bears-den-mountain-fort-ransom,,,
beartooth-basin,,,
beartown,,,
beaver-creek,,,
beaver-mountain,,,
beech-mountain,,,
beef-trail,,,
belleayre-mountain,,,
berkshire-east,,,
big-bear-at-masthope-mountain,,,
big-boulder,,,
big-creek-ski-area,,,
big-powderhorn-mountain,powder,,
big-sky-resort,,,
big-squaw,,,
big-tupper-tupper-lake,,,
bigrock-mountain,,,
bittersweet,,,
black-mountain-jackson,black pass,,
black-mountain-rumford,,,
black-rapid,,,
blackhawk-ski-club-middleton,,,
blackjack,,,
blacktail-mountain,,,
blandford,,,
blue-hills,,,
blue-knob,,,
blue-mountain,,,
bluewood,,,
bogus-basin,,,
bolton-valley,,,
boreal,,,
boston-mills,,,
bottineau-winter-park,winter,,
bousquet,,,
boyce-park,,,
boyne-highlands,,,
boyne-mountain,,,
bradford,,,
brandywine,,,
brantling-ski-slopes,,,
breckenridge,,,
bretton-woods,,,
brian-head,,,
bridger-bowl-bozeman,,,
brighton,brightonal,,
bristol-mountain,,,
bromley-mountain,,,
bruce-mound,,,
brundage-mountain,,,
bryce-resort,brycce,,
buck-hill-ski-area,buckhhh,,
buckhorn-ski-and-snowboard-club,,,
buena-vista,,,
buffalo-ski-club,,,
burke-mountain,,,
buttermilk-mountain,,,
butternut-basin,,,
caberfae-peaks,,,
camden-snow-bowl,,,
camelback,,,
camp-10,,,
campgaw,,,
campton-mountain,,,
canaan-valley,,,
cannon-mountain,,,
cannonsburg-ski-area,,,
carson-ski-resort,,,
cascade-mountain,,,
cascade-powder-guides,,,
cataldo-peak-adventures,,,
cataloochee,,,
catamount,,,
cazenovia,,,
challenge-mountain-walloon-lake,,,
cherry-peak,,,
chester-bowl-park,,,
chestnut-mountain,,,
china-peak,,,
christie-mountain,,,
christmas-mountain,,,
clear-fork,,,
cloudcroft,,,
cloudmont-ski-resort,,,
cochran-ski-area,,,
cockaigne-ski-area,,,
coffee-mill-ski-area,,,
cooper,,,
cooper-spur,,,
