National_id,Name
a1,Spain
a2,Germany
a3,Brazil
a4,Belgium
a5,Argentina
a6,Portugal
a7,France
a8,Italy
a9,England
a10,Netherlands
a11,Uruguay
a12,Poland
a13,Chile
a14,Colombia
a15,Mexico
a16,Turkey
a17,Denmark
a18,Switzerland
a19,Austria
a20,Croatia
a21,Sweden
a22,Ireland
a23,Greece
a24,Wales
a25,Russia
a26,United States
a27,Paraguay
a28,Czech Republic
a29,Ecuador
a30,Scotland
a31,Slovenia
a32,Romania
a33,Norway
a34,Egypt
a35,Venezuela
a36,Hungary
a37,South Africa
a38,Australia
a39,Cameroon
a40,Northern Ireland
a41,Peru
a42,Finland
a43,Bulgaria
a44,Canada
a45,Bolivia
a46,China PR
a47,India
a48,Gabon
a49,Armenia
a50,Costa Rica
a51,Bosnia Herzefovina
a52,Slovakia
a53,Algeria
a54,Serbia
a55,Morocco
a56,Ivory Coast
a57,Senegal
a58,Montenegro
a59,Ukraine
a60,Japan
a61,Iceland
a62,Nigeria
a63,DR Congo
