old_movie_id,movie_title,director_name,main_actor,genre_id
1,On the Road ,Walter Salles,Kristen Stewart,3
3,Enchanted ,Kevin Lima,Jeff Bennett,4
4,"Dancer, Texas Pop. 81 ",Tim McCanlies,Ethan Embry,6
5,TMNT ,Kevin Munroe,Chris Evans,3
6,Sunshine ,Danny Boyle,Chris Evans,7
7,Videodrome ,David Cronenberg,Debbie Harry,12
8,Alvin and the Chipmunks: The Squeakquel ,Betty Thomas,Amy Poehler,17
9,UnDivided ,Sam Martin,Sam Adams,18
10,Universal Soldier: The Return ,Mic Rodgers,Michael Jai White,7
11,Panic Room ,David Fincher,Kristen Stewart,8
12,Taken 3 ,Olivier Megaton,Liam Neeson,8
13,Sideways ,Alexander Payne,Virginia Madsen,3
14,The Game of Their Lives ,David Anspaugh,Gerard Butler,1
15,Poultrygeist: Night of the Chicken Dead ,Lloyd Kaufman,John Karyus,6
16,Antitrust ,Peter Howitt,Tyler Labine,2
17,Victor Frankenstein ,Paul McGuigan,Daniel Radcliffe,8
18,Sinister 2 ,Ciarán Foy,Laila Haley,5
19,Megamind ,Tom McGrath,J.K. Simmons,17
20,High Fidelity ,Stephen Frears,Drake Bell,1
21,Secondhand Lions ,Tim McCanlies,Haley Joel Osment,6
23,Gigli ,Martin Brest,Todd Giebenhain,4
24,Dance Flick ,Damien Dante Wayans,Damon Wayans Jr.,6
25,Kiss the Girls ,Gary Fleder,Morgan Freeman,10
26,Independence Day ,Roland Emmerich,Will Smith,2
27,Doogal ,Dave Borthwick,Jimmy Fallon,13
28,A Dog of Flanders ,Kevin Brodie,Bruce McGill,13
29,Against the Wild ,Richard Boddington,Natasha Henstridge,13
30,Cloverfield ,Matt Reeves,Mike Vogel,2
31,The Secret Life of Walter Mitty ,Ben Stiller,Adam Scott,3
32,I Think I Love My Wife ,Chris Rock,Steve Buscemi,1
33,The Country Bears ,Peter Hastings,Haley Joel Osment,6
34,Queen of the Mountains ,Sadyk Sher-Niyaz,Elina Abai Kyzy,14
35,"Welcome Home, Roscoe Jenkins ",Malcolm D. Lee,Mo'Nique,4
36,In the Shadow of the Moon ,David Sington,John F. Kennedy,15
37,All the King's Men ,Steven Zaillian,Kate Winslet,8
38,Chasing Papi ,Linda Mendoza,Carlos Ponce,4
39,Meteor ,Ronald Neame,Martin Landau,1
40,Treasure Planet ,Ron Clements,Joseph Gordon-Levitt,3
41,Total Recall ,Paul Verhoeven,Ronny Cox,2
42,Ravenous ,Antonia Bird,Jeremy Davies,11
43,John Q ,Nick Cassavetes,Denzel Washington,8
45,The Five-Year Engagement ,Nicholas Stoller,Alison Brie,6
46,The Nutcracker ,Emile Ardolino,Darci Kistler,13
47,Alien ,Ridley Scott,Tom Skerritt,12
48,Hannibal Rising ,Peter Webber,Li Gong,10
49,Automata ,Gabe Ibáñez,Birgitte Hjort Sørensen,8
50,Galaxy Quest ,Dean Parisot,Alan Rickman,6
51,Wall Street: Money Never Sleeps ,Oliver Stone,Frank Langella,1
53,Must Love Dogs ,Gary David Goldberg,Stockard Channing,4
54,Ernest & Celestine ,Stéphane Aubier,Mackenzie Foy,6
55,Glee: The 3D Concert Movie ,Kevin Tancharoen,Lea Michele,18
56,Wonder Boys ,Curtis Hanson,Robert Downey Jr.,1
57,Legal Eagles ,Ivan Reitman,Brian Dennehy,4
58,Red Lights ,Rodrigo Cortés,Robert De Niro,8
59,Aquamarine ,Elizabeth Allen Rosenbaum,Tammin Sursok,6
60,Hocus Pocus ,Kenny Ortega,Vinessa Shaw,11
61,Déjà Vu ,Henry Jaglom,Vanessa Redgrave,4
62,The Blind Side ,John Lee Hancock,Catherine Dyer,1
63,Speed Racer ,Lana Wachowski,Scott Porter,2
64,The Importance of Being Earnest ,Oliver Parker,Colin Firth,6
65,Get on Up ,Tate Taylor,Tika Sumpter,1
66,Commando ,Mark L. Lester,Bill Duke,8
67,Loaded Weapon 1 ,Gene Quintano,Jon Lovitz,2
68,The Gallows ,Travis Cluff,Pfeifer Brown,8
69,Die Another Day ,Lee Tamahori,Toby Stephens,2
70,The Apartment ,Billy Wilder,Fred MacMurray,4
71,Confessions of a Dangerous Mind ,George Clooney,Dick Clark,4
72,Twister ,Jan de Bont,Philip Seymour Hoffman,2
73,Gentlemen Broncos ,Jared Hess,Jizelle Jade,7
74,Devil's Due ,Matt Bettinelli-Olpin,Zach Gilford,12
75,The Player             ,,Nick Wechsler,2
76,Tower Heist ,Brett Ratner,Matthew Broderick,10
77,Night of the Living Dead ,George A. Romero,Judith O'Dea,12
