Player_id,Team_id,PTS,RPG,AST,STL,BLK,TOV
2,28,11.6,2.0,3.2,0.7,0.2,1.9
5,23,15.2,7.2,3.2,0.9,1.3,1.3
6,20,16.6,8.4,1.7,0.7,1.3,1.0
7,6,7.4,2.8,1.1,0.8,0.1,0.8
10,24,6.3,6.6,0.5,0.5,1.5,1.1
12,19,6.5,4.6,0.7,0.3,0.8,1.0
13,2,5.6,4.6,0.8,0.9,0.8,0.7
17,18,9.3,6.1,1.6,0.6,0.8,1.5
20,12,13.8,13.5,0.7,0.9,1.9,1.5
21,15,7.8,3.3,3.0,1.2,0.3,1.1
22,11,4.4,1.9,3.5,0.4,0.1,1.3
23,8,3.4,3.8,1.0,0.8,0.4,0.7
26,15,6.3,8.1,2.7,0.6,1.7,1.6
30,19,24.4,10.2,2.2,1.5,2.9,1.4
31,8,10.7,2.6,0.8,0.7,0.1,0.5
35,4,6.6,4.5,0.5,0.2,0.3,0.9
36,14,13.3,3.2,1.7,0.5,0.1,1.5
38,21,7.0,2.0,2.0,0.6,0.2,0.9
39,26,13.9,3.1,1.8,1.1,0.2,1.4
41,11,12.1,2.9,1.7,0.9,0.2,1.7
44,20,4.8,6.4,0.3,0.3,1.5,0.8
45,21,21.9,7.6,5.3,0.9,0.5,2.3
46,6,9.0,2.7,0.9,0.4,0.1,1.0
47,4,8.7,4.3,2.9,0.4,0.3,1.6
48,7,15.3,3.8,3.1,1.2,0.3,2.0
50,26,10.6,4.9,1.3,0.5,0.4,1.0
53,24,17.0,3.9,5.2,1.4,0.2,3.0
56,20,6.7,1.5,2.3,0.5,0.1,0.8
57,6,17.2,7.4,0.7,0.6,1.8,1.4
62,11,7.2,3.8,0.4,0.2,0.2,0.8
63,22,11.8,6.8,1.3,0.6,0.2,1.3
65,12,5.9,2.5,1.0,0.6,0.1,0.6
67,2,15.7,4.9,2.4,1.0,0.3,1.5
68,3,7.3,3.9,1.3,0.6,0.5,1.0
70,25,6.8,3.0,1.0,0.7,0.1,0.7
71,1,5.3,5.0,0.7,0.4,1.0,0.7
76,14,8.6,6.5,0.9,0.2,0.7,1.5
77,21,19.1,4.6,10.2,1.9,0.2,2.3
79,14,6.8,1.5,1.0,0.7,0.1,0.8
80,5,13.5,3.1,1.1,0.9,0.4,1.0
85,13,5.5,5.5,1.2,0.6,1.1,1.0
86,27,11.5,3.7,2.2,1.4,0.2,1.6
88,4,6.8,2.4,2.4,0.6,0.2,0.8
89,9,10.1,2.3,2.0,1.0,0.2,1.0
90,8,9.5,2.0,4.3,0.6,0.0,1.8
92,14,21.0,4.6,6.2,1.2,0.3,2.7
93,5,4.8,0.7,0.8,0.2,0.1,0.7
94,16,12.4,3.7,1.4,0.8,0.3,1.0
96,4,11.7,4.2,2.0,1.2,1.1,1.1
97,19,5.2,3.9,0.8,0.7,0.6,0.5
98,29,4.8,1.6,2.4,0.5,0.2,1.4
101,16,6.6,2.9,1.0,0.8,0.4,0.8
106,5,11.7,6.8,3.4,0.7,0.7,1.8
107,21,11.5,15.0,0.7,1.0,2.2,1.3
109,18,20.1,4.6,3.5,1.2,0.2,2.3
110,11,24.1,12.7,3.6,1.5,1.7,4.3
111,23,12.6,5.3,1.7,1.3,0.2,1.1
112,23,10.0,2.1,4.1,0.6,0.1,1.9
114,29,16.0,8.2,1.5,0.8,1.7,1.6
117,2,8.8,1.8,3.1,1.0,0.2,1.1
119,3,3.7,5.0,0.2,0.3,0.8,0.9
121,2,17.3,5.9,1.9,0.5,0.4,1.1
123,27,12.0,5.9,1.8,0.8,0.5,1.7
126,15,11.7,8.2,3.7,1.6,1.3,1.7
135,22,8.3,7.6,1.2,0.6,1.2,0.7
137,3,8.9,4.3,6.5,1.7,0.2,2.5
141,8,15.5,8.9,0.7,0.5,0.4,1.9
142,24,17.0,5.2,6.1,1.6,0.6,3.4
143,19,13.4,2.6,3.8,0.8,0.2,2.0
145,10,11.5,4.8,1.0,0.6,0.3,0.8
147,3,12.0,2.6,2.1,0.7,0.0,1.4
148,26,9.5,5.1,5.5,1.0,0.2,2.4
157,24,11.9,2.5,1.2,0.6,0.2,1.4
158,20,12.1,3.4,2.6,0.6,0.3,1.4
160,10,12.7,6.7,2.6,0.9,1.0,2.1
162,21,4.0,2.3,0.5,0.6,0.3,0.5
165,1,16.3,3.5,4.5,1.0,0.2,2.2
166,29,19.3,4.9,4.1,1.4,0.4,2.7
167,25,9.7,8.3,2.0,1.0,1.7,1.7
169,12,15.9,10.2,2.1,1.1,0.5,2.2
172,18,9.5,2.6,3.7,0.6,0.1,1.5
173,15,10.1,5.5,1.4,0.7,0.2,0.9
180,5,4.3,5.8,0.5,0.5,0.8,1.0
181,17,8.0,3.6,2.2,1.3,0.3,1.5
183,26,16.4,2.3,4.2,0.9,0.1,2.1
185,2,7.5,1.7,3.4,0.4,0.0,0.9
189,26,7.7,3.6,1.1,0.9,0.3,0.6
192,21,15.8,1.9,2.5,0.9,0.2,1.4
193,16,8.3,2.3,4.0,0.7,0.1,1.7
194,1,5.0,2.8,0.8,0.4,0.3,0.6
195,27,27.4,5.7,7.0,1.9,0.7,4.0
196,18,7.9,3.7,1.4,0.8,1.0,1.1
203,10,7.2,3.1,1.8,1.0,0.2,0.9
204,26,13.3,7.6,2.3,0.8,0.7,1.3
206,6,12.0,3.1,4.7,0.9,0.2,2.4
207,20,3.3,3.3,0.3,0.3,0.7,0.5
215,9,15.0,4.2,1.7,0.7,0.4,1.4
216,23,15.9,2.5,7.0,1.7,0.4,2.8
219,30,6.3,3.0,1.2,0.6,1.0,1.3
223,22,11.2,2.6,4.6,1.1,0.4,2.2
226,10,7.8,2.7,3.0,0.8,0.2,1.7
228,28,20.0,5.8,3.3,1.8,0.6,1.4
229,16,7.6,6.2,0.8,0.5,0.5,1.3
230,21,16.4,2.1,1.8,0.5,0.1,1.2
231,28,7.2,9.6,4.7,0.7,1.1,1.8
232,12,11.1,1.7,1.3,1.0,0.1,1.0
234,29,5.0,2.2,2.3,0.9,0.1,1.2
235,6,14.4,4.8,3.7,0.7,0.2,1.7
238,27,2.7,4.0,0.4,0.6,0.4,0.6
240,10,7.0,4.7,0.9,0.4,2.0,1.3
246,9,4.5,3.3,0.7,0.3,0.1,0.6
247,26,6.0,3.8,0.9,0.6,0.2,0.6
248,18,12.0,8.7,0.5,0.4,1.2,1.4
250,22,11.9,3.2,3.5,0.9,0.2,1.6
253,22,12.0,7.9,1.5,0.5,0.7,1.5
258,17,12.1,3.1,2.8,1.2,0.3,1.4
262,15,4.3,1.2,0.8,0.7,0.2,0.5
265,4,16.5,7.2,2.5,2.3,0.8,1.5
266,26,10.3,4.7,1.7,1.0,0.6,1.5
267,20,17.3,3.5,5.1,1.4,0.5,1.6
269,17,3.6,4.7,0.8,0.2,0.6,1.4
270,16,12.6,8.9,1.2,0.8,0.8,1.6
271,23,5.2,3.0,1.0,0.7,0.4,1.0
272,12,12.7,3.1,1.3,1.1,0.2,1.1
276,17,16.4,9.7,2.2,0.7,0.5,1.6
278,7,6.6,3.6,0.7,0.1,0.7,1.2
279,10,13.4,4.4,2.3,1.5,0.1,1.4
280,28,5.7,1.8,2.2,0.7,0.2,1.1
281,27,7.9,3.2,1.2,0.7,1.1,1.7
282,15,21.7,3.2,2.9,1.1,0.8,1.9
284,9,5.2,5.3,0.5,0.4,0.8,0.9
286,7,8.0,6.5,0.9,0.5,0.4,0.7
288,23,12.1,4.1,2.6,0.7,0.6,1.4
289,18,17.8,4.7,6.8,1.6,0.2,2.5
291,8,6.0,2.4,1.1,0.6,0.3,0.7
292,17,21.7,3.2,5.2,1.5,0.3,2.5
293,14,23.4,10.2,1.7,0.7,1.0,1.7
294,20,8.2,4.5,3.9,0.6,0.1,2.1
300,5,5.0,5.1,1.2,0.2,0.7,0.6
301,15,7.1,1.4,1.5,0.6,0.1,0.7
302,17,25.3,6.0,7.4,1.6,0.7,3.9
306,18,15.5,1.9,2.1,1.1,0.1,1.3
307,30,9.9,4.9,1.6,1.2,0.3,1.5
309,5,9.4,6.5,1.3,0.6,0.2,1.2
310,19,4.1,1.8,0.4,0.3,0.2,0.4
312,1,14.0,5.2,1.9,0.9,0.3,1.5
314,4,10.5,3.0,4.2,1.0,0.3,2.2
315,9,17.4,7.8,3.8,0.9,1.6,2.2
316,7,12.2,8.7,1.2,0.6,1.3,1.2
317,4,9.2,2.5,1.5,0.5,0.0,1.0
318,24,10.4,4.8,1.6,0.8,0.2,0.9
319,26,7.8,3.3,3.1,1.5,0.3,1.3
321,1,10.2,2.6,3.8,1.5,0.1,2.2
323,24,15.3,6.2,2.3,1.2,0.5,2.1
324,15,10.4,4.3,0.9,0.3,0.4,1.1
326,20,7.4,4.9,1.3,0.9,0.5,0.8
327,6,8.7,6.2,0.9,0.8,0.8,1.3
328,21,10.1,4.0,1.5,0.9,0.7,1.1
329,4,3.7,1.6,0.7,0.1,0.2,0.2
330,17,4.8,1.9,3.0,0.4,0.0,0.9
334,10,14.6,5.3,6.7,1.7,0.5,3.8
336,9,15.8,3.0,5.4,1.3,0.2,2.2
337,28,9.4,3.9,1.8,0.6,0.3,1.0
340,23,7.8,2.9,1.1,0.4,0.0,0.6
341,10,4.0,4.4,0.5,0.6,0.9,0.7
345,20,14.2,2.6,6.2,0.7,0.2,2.5
346,2,18.9,2.4,4.1,1.9,0.3,2.5
351,30,9.9,8.1,1.7,1.8,1.9,1.9
352,9,4.2,1.8,2.5,1.1,0.1,1.1
353,8,4.1,3.8,1.4,0.5,0.4,0.7
356,14,9.4,5.9,4.8,1.1,0.6,1.9
357,11,4.4,1.2,0.9,0.3,0.2,0.5
358,28,10.2,4.9,1.2,0.7,0.7,1.1
360,3,19.3,10.9,2.0,0.7,0.7,2.0
362,19,7.6,2.1,3.4,0.8,0.2,1.3
363,10,11.4,2.6,2.8,0.8,0.3,1.8
365,19,7.3,9.8,0.9,0.4,0.7,1.3
366,11,8.9,3.9,1.5,0.5,0.1,1.3
367,7,6.0,3.0,0.9,0.6,0.4,0.7
368,27,4.1,1.8,2.6,1.2,0.0,0.9
373,28,18.5,11.8,2.7,0.3,1.9,2.0
375,23,16.7,7.8,3.1,1.8,0.9,2.3
376,7,11.9,4.0,2.0,0.6,0.3,1.3
377,23,5.7,3.0,0.8,0.3,0.2,0.8
382,13,5.9,4.4,1.0,0.4,0.3,0.9
384,19,7.2,2.6,1.3,0.3,0.3,0.7
385,2,8.9,5.5,7.9,1.3,0.1,3.1
386,7,6.3,2.3,2.8,0.5,0.0,1.3
388,7,7.7,2.6,0.8,0.4,0.3,0.6
389,11,7.4,2.6,2.8,0.7,0.2,1.3
393,12,14.5,4.2,6.0,0.8,0.1,2.4
395,2,5.8,2.5,0.8,0.4,0.1,0.7
399,30,13.5,4.5,1.5,1.4,0.4,1.8
401,14,9.6,6.7,0.9,0.3,1.4,1.2
403,5,12.6,3.5,3.1,0.8,0.1,1.7
406,5,10.6,7.1,1.1,0.2,1.6,1.4
407,11,21.1,5.9,3.7,1.0,0.6,2.7
408,29,8.4,9.5,1.3,0.8,2.3,1.4
411,19,13.7,4.8,0.9,0.5,0.3,1.0
417,8,14.3,7.8,0.9,0.5,2.4,1.5
422,13,6.2,2.3,3.0,1.2,0.1,1.1
424,15,5.9,2.3,3.3,0.6,0.3,1.3
427,12,5.4,2.6,0.7,0.4,0.3,0.5
431,5,8.9,3.8,2.2,0.8,0.2,1.4
433,21,5.8,3.5,1.2,0.3,0.7,0.8
434,15,23.8,4.3,7.7,2.0,0.2,3.1
435,14,4.3,1.7,3.6,0.5,0.1,1.3
437,8,7.7,7.5,0.9,0.5,1.2,1.4
438,28,10.3,6.4,1.1,0.6,1.2,1.2
439,22,6.0,5.8,0.7,0.3,0.4,0.8
440,12,7.5,3.6,1.6,0.5,0.3,0.6
442,18,9.8,2.8,1.0,0.6,0.3,0.8
447,4,13.9,9.1,3.0,0.8,2.0,1.7
449,13,11.5,2.2,1.8,0.3,0.2,1.2
450,17,9.7,7.3,0.7,0.4,1.2,1.4
452,3,17.1,6.3,1.8,1.0,0.5,1.7
454,9,8.6,4.4,1.4,2.0,0.5,1.4
455,4,14.4,1.9,4.9,0.6,0.0,2.1
456,28,6.0,2.4,0.9,0.4,0.2,0.7
460,27,12.8,5.6,2.5,1.9,0.2,1.7
461,29,7.2,5.0,1.1,0.5,0.5,1.1
462,29,12.8,2.7,4.3,0.9,0.2,1.6
465,16,15.2,3.1,9.6,1.2,0.1,2.5
467,18,3.6,3.6,0.3,0.4,0.2,0.3
470,19,16.6,5.3,6.6,1.3,0.5,3.1
472,2,10.3,11.5,1.1,0.6,1.2,1.4
473,1,4.2,4.2,0.7,0.3,0.2,0.7
476,3,17.9,4.2,4.1,1.7,0.3,2.8
477,9,5.8,2.0,1.2,0.7,0.2,0.7
478,22,10.0,3.2,1.6,0.5,0.0,0.8
479,22,9.9,4.2,1.6,0.8,0.6,1.1
480,14,15.9,3.7,2.3,1.3,0.2,1.4
481,16,6.8,2.8,1.4,0.8,0.3,1.1
485,16,13.9,6.1,1.7,0.7,0.4,1.4
487,25,10.1,2.8,3.6,0.7,0.1,2.5
488,9,16.1,10.5,2.2,1.0,0.2,2.2
489,10,8.3,6.8,2.4,1.1,0.3,1.8
