tag,synonym_1,synonym_2,synonym_3,synonym_4,synonym_5
Sing,sing.v.01,sing.v.02,sing.v.03,whistle.v.05,spill_the_beans.v.01
XXX,thirty.n.01,xxx.n.02,thirty.s.01,,
Aria,aria.n.01,,,,
Tonight,tonight.n.01,tonight.r.01,,,
Tonight,tonight.n.01,tonight.r.01,,,
Movie,movie.n.01,,,,
movie,movie.n.01,,,,
Movie,movie.n.01,,,,
movie,movie.n.01,,,,
movie,movie.n.01,,,,
Movie,movie.n.01,,,,
movie,movie.n.01,,,,
Women,woman.n.01,woman.n.02,charwoman.n.01,womanhood.n.02,
Sing,sing.v.01,sing.v.02,sing.v.03,whistle.v.05,spill_the_beans.v.01
KINDLE,kindle.v.01,kindle.v.02,arouse.v.01,,
BOOK,book.n.01,book.n.02,record.n.05,script.n.01,ledger.n.01
AMAZON,amazon.n.01,amazon.n.02,amazon.n.03,amazon.n.04,
marathon,marathon.n.01,marathon.n.02,marathon.n.03,,
favorite,favorite.n.01,darling.n.01,front-runner.n.01,favorite.s.01,favored.s.01
Giveaway,giveaway.n.01,giveaway.n.02,game_show.n.01,,
Giveaway,giveaway.n.01,giveaway.n.02,game_show.n.01,,
Giveaway,giveaway.n.01,giveaway.n.02,game_show.n.01,,
Giveaway,giveaway.n.01,giveaway.n.02,game_show.n.01,,
Twitch,twitch.n.01,twitch.v.01,jerk.v.02,flip.v.04,pinch.v.01
Vancouver,vancouver.n.01,vancouver.n.02,vancouver.n.03,,
Vancouver,vancouver.n.01,vancouver.n.02,vancouver.n.03,,
Vancouver,vancouver.n.01,vancouver.n.02,vancouver.n.03,,
Amazon,amazon.n.01,amazon.n.02,amazon.n.03,amazon.n.04,
recipes,recipe.n.01,,,,
food,food.n.01,food.n.02,food.n.03,,
cooking,cooking.n.01,cook.v.01,cook.v.02,cook.v.03,fudge.v.01
delicious,delicious.n.01,delightful.s.01,delectable.s.01,,
cook,cook.n.01,cook.n.02,cook.v.01,cook.v.02,cook.v.03
recipe,recipe.n.01,,,,
Art,art.n.01,art.n.02,art.n.03,artwork.n.01,
np,neptunium.n.01,nurse_practitioner.n.01,,,
hydraulics,fluid_mechanics.n.01,,,,
Bordellos,whorehouse.n.01,,,,
nw,northwest.n.03,,,,
retail,retail.n.01,retail.v.01,retail.v.02,retail.r.01,
conservation,conservation.n.01,conservation.n.02,conservation.n.03,,
conservation,conservation.n.01,conservation.n.02,conservation.n.03,,
Culture,culture.n.01,culture.n.02,acculturation.n.02,culture.n.04,polish.n.02
furry,furred.s.01,,,,
Beauty,beauty.n.01,smasher.n.02,beauty.n.03,,
horror,horror.n.01,horror.n.02,repugnance.n.01,,
viral,viral.a.01,,,,
