,tag,synonym_1,synonym_2,synonym_3,synonym_4,synonym_5
0,Sing,sing,sing,sing,whistle,spill_the_beans
1,XXX,thirty,xxx,thirty,nan,nan
2,Aria,aria,nan,nan,nan,nan
3,Tonight,tonight,tonight,nan,nan,nan
4,Tonight,tonight,tonight,nan,nan,nan
5,Movie,movie,nan,nan,nan,nan
6,movie,movie,nan,nan,nan,nan
7,Movie,movie,nan,nan,nan,nan
8,movie,movie,nan,nan,nan,nan
9,movie,movie,nan,nan,nan,nan
10,Movie,movie,nan,nan,nan,nan
11,movie,movie,nan,nan,nan,nan
12,Women,woman,woman,charwoman,womanhood,nan
13,Sing,sing,sing,sing,whistle,spill_the_beans
14,KINDLE,kindle,kindle,arouse,nan,nan
15,BOOK,book,book,record,script,ledger
16,AMAZON,amazon,amazon,amazon,amazon,nan
17,marathon,marathon,marathon,marathon,nan,nan
18,favorite,favorite,darling,front-runner,favorite,favored
19,Giveaway,giveaway,giveaway,game_show,nan,nan
20,Giveaway,giveaway,giveaway,game_show,nan,nan
21,Giveaway,giveaway,giveaway,game_show,nan,nan
22,Giveaway,giveaway,giveaway,game_show,nan,nan
23,Twitch,twitch,twitch,jerk,flip,pinch
24,Vancouver,vancouver,vancouver,vancouver,nan,nan
25,Vancouver,vancouver,vancouver,vancouver,nan,nan
26,Vancouver,vancouver,vancouver,vancouver,nan,nan
27,Amazon,amazon,amazon,amazon,amazon,nan
28,recipes,recipe,nan,nan,nan,nan
29,food,food,food,food,nan,nan
30,cooking,cooking,cook,cook,cook,fudge
31,delicious,delicious,delightful,delectable,nan,nan
32,cook,cook,cook,cook,cook,cook
33,recipe,recipe,nan,nan,nan,nan
34,Art,art,art,art,artwork,nan
35,np,neptunium,nurse_practitioner,nan,nan,nan
36,hydraulics,fluid_mechanics,nan,nan,nan,nan
37,Bordellos,whorehouse,nan,nan,nan,nan
38,nw,northwest,nan,nan,nan,nan
39,retail,retail,retail,retail,retail,nan
40,conservation,conservation,conservation,conservation,nan,nan
41,conservation,conservation,conservation,conservation,nan,nan
42,Culture,culture,culture,acculturation,culture,polish
43,furry,furred,nan,nan,nan,nan
44,Beauty,beauty,smasher,beauty,nan,nan
45,horror,horror,horror,repugnance,nan,nan
46,viral,viral,nan,nan,nan,nan
47,twitch,twitch,twitch,jerk,flip,pinch
48,SEN,sen,nan,nan,nan,nan
49,Campbell,campbell,nan,nan,nan,nan
50,Campbell,campbell,nan,nan,nan,nan
51,Campbell,campbell,nan,nan,nan,nan
52,Role,function,character,function,role,nan
53,Movie,movie,nan,nan,nan,nan
54,Actor,actor,actor,nan,nan,nan
55,accounting,accounting,accounting,accountancy,accounting,account
56,kittens,kitten,kitten,nan,nan,nan
57,Jesus,jesus,nan,nan,nan,nan
58,God,god,deity,god,idol,nan
59,Bible,bible,bible,nan,nan,nan
60,Jesus,jesus,nan,nan,nan,nan
61,God,god,deity,god,idol,nan
62,Bible,bible,bible,nan,nan,nan
63,Jesus,jesus,nan,nan,nan,nan
64,God,god,deity,god,idol,nan
65,Bible,bible,bible,nan,nan,nan
66,Jesus,jesus,nan,nan,nan,nan
67,God,god,deity,god,idol,nan
68,Bible,bible,bible,nan,nan,nan
69,Jesus,jesus,nan,nan,nan,nan
70,God,god,deity,god,idol,nan
71,Bible,bible,bible,nan,nan,nan
72,Loki,loki,nan,nan,nan,nan
73,Hulk,giant,hulk,loom,nan,nan
74,Thor,thor,nan,nan,nan,nan
75,Vision,vision,sight,vision,imagination,vision
76,Falcon,falcon,falcon,nan,nan,nan
77,Mantis,mantis,nan,nan,nan,nan
78,IronMan,iron_man,nan,nan,nan,nan
79,IronMan,iron_man,nan,nan,nan,nan
80,Loki,loki,nan,nan,nan,nan
81,strippers,stripper,stripper,stripper,stripper_well,nan
82,ebony,coal_black,ebony,ebony,ebon,nan
83,ass,buttocks,ass,ass,fuck,arsenic
84,sexy,sexy,aphrodisiac,nan,nan,nan
85,awesome,amazing,nan,nan,nan,nan
86,awesome,amazing,nan,nan,nan,nan
87,awesome,amazing,nan,nan,nan,nan
88,heroin,heroin,nan,nan,nan,nan
89,Action,action,action,military_action,natural_process,action
90,Oscar,academy_award,nan,nan,nan,nan
91,Gloucester,gloucester,gloucester,nan,nan,nan
92,kayak,kayak,kayak,nan,nan,nan
93,Angola,angola,nan,nan,nan,nan
94,crocodiles,crocodile,nan,nan,nan,nan
95,Bruins,bruin,brown_bear,nan,nan,nan
96,Leafs,leaf,leaf,leaf,flick,leaf
97,watchmen,watchman,nan,nan,nan,nan
98,Chile,chile,chili,nan,nan,nan
99,Love,love,love,beloved,love,love
100,Proverbs,proverbs,proverb,nan,nan,nan
101,Russian,russian,russian,russian,nan,nan
102,Premier,prime_minister,chancellor,premier,premier,premier
103,Thor,thor,nan,nan,nan,nan
104,IronMan,iron_man,nan,nan,nan,nan
105,Thor,thor,nan,nan,nan,nan
106,IronMan,iron_man,nan,nan,nan,nan
107,Thor,thor,nan,nan,nan,nan
108,IronMan,iron_man,nan,nan,nan,nan
109,Thor,thor,nan,nan,nan,nan
110,IronMan,iron_man,nan,nan,nan,nan
111,wimp,wimp,weakly_interacting_massive_particle,nan,nan,nan
112,Hereditary,familial,ancestral,nan,nan,nan
113,Hot,hot,hot,hot,hot,hot
114,Sexy,sexy,aphrodisiac,nan,nan,nan
115,nw,northwest,nan,nan,nan,nan
116,Texas,texas,nan,nan,nan,nan
117,rip,rake,rip,rip,rent,rend
118,highest,high,high,eminent,high,high
119,Skyscraper,skyscraper,nan,nan,nan,nan
120,Raiders,plunderer,raider,nan,nan,nan
121,IronMan,iron_man,nan,nan,nan,nan
122,hiring,hire,rent,lease,nan,nan
123,job,occupation,job,job,job,job
124,happy,happy,felicitous,glad,happy,nan
125,art,art,art,art,artwork,nan
126,books,book,book,record,script,ledger
127,Bumblebee,bumblebee,nan,nan,nan,nan
128,Bumblebee,bumblebee,nan,nan,nan,nan
129,Bumblebee,bumblebee,nan,nan,nan,nan
130,cars,car,car,car,car,cable_car
131,motor,motor,motor,drive,centrifugal,motive
132,TOYOTA,toyota,nan,nan,nan,nan
133,Vip,very_important_person,nan,nan,nan,nan
134,Cars,car,car,car,car,cable_car
135,cars,car,car,car,car,cable_car
136,motor,motor,motor,drive,centrifugal,motive
137,crime,crime,crime,nan,nan,nan
138,paperback,paperback_book,paperback,nan,nan,nan
139,winning,winning,win,acquire,gain,succeed
140,maleficent,maleficent,nan,nan,nan,nan
141,np,neptunium,nurse_practitioner,nan,nan,nan
142,deal,deal,bargain,batch,deal,softwood
143,sale,sale,sale,sale,sale,sale
144,character,fictional_character,quality,character,character,character
145,cartoon,cartoon,cartoon,cartoon,nan,nan
146,drawing,drawing,drawing,drawing,lottery,drawing
147,art,art,art,art,artwork,nan
148,quote,quotation_mark,quotation,quote,quote,quote
149,women,woman,woman,charwoman,womanhood,nan
150,venom,venom,malice,nan,nan,nan
151,Empire,empire,empire,empire,conglomerate,empire
152,music,music,music,music,music,music
153,rapper,rapper,knocker,nan,nan,nan
154,film,movie,film,film,film,film
155,film,movie,film,film,film,film
156,emissions,emission,discharge,emission,discharge,emission
157,porn,pornography,nan,nan,nan,nan
158,topless,topless,bare-breasted,nan,nan,nan
159,blowjob,cock_sucking,nan,nan,nan,nan
160,hot,hot,hot,hot,hot,hot
161,Macron,macron,nan,nan,nan,nan
162,Bond,chemical_bond,bond,alliance,bail,shackle
163,Special,special,special,special,particular,special
164,Empire,empire,empire,empire,conglomerate,empire
165,grateful,grateful,grateful,nan,nan,nan
166,mom,ma,nan,nan,nan,nan
167,Empire,empire,empire,empire,conglomerate,empire
168,Elementary,elementary,elementary,elementary,nan,nan
169,Maui,maui,nan,nan,nan,nan
170,Bahai,bahai,bahai,nan,nan,nan
171,MasterMinds,originator,genius,mastermind,nan,nan
172,Hippocrates,hippocrates,nan,nan,nan,nan
173,Hacking,chop,hack,hack,hack,hack
174,cinematographer,cameraman,nan,nan,nan,nan
175,crybaby,wimp,whiner,nan,nan,nan
