,tag,synonym_1,synonym_2,synonym_3
0,Sing,sing,whistle,spill_the_beans
1,XXX,thirty,xxx,none
2,Aria,aria,none,none
3,Tonight,tonight,none,none
4,Movie,movie,none,none
5,movie,none,none,none
6,Women,woman,charwoman,womanhood
7,KINDLE,kindle,arouse,none
8,BOOK,book,record,script
9,AMAZON,amazon,none,none
10,marathon,none,none,none
11,favorite,darling,front-runner,favorite
12,Giveaway,giveaway,game_show,none
13,Twitch,twitch,jerk,flip
14,Vancouver,vancouver,none,none
15,Amazon,amazon,none,none
16,recipes,recipe,none,none
17,food,none,none,none
18,cooking,cook,fudge,none
19,delicious,delightful,delectable,none
20,cook,none,none,none
21,recipe,none,none,none
22,Art,art,artwork,none
23,np,neptunium,nurse_practitioner,none
24,hydraulics,fluid_mechanics,none,none
25,Bordellos,whorehouse,none,none
26,nw,northwest,none,none
27,retail,none,none,none
28,conservation,none,none,none
29,Culture,culture,acculturation,polish
30,furry,furred,none,none
31,Beauty,beauty,smasher,none
32,horror,repugnance,none,none
33,viral,none,none,none
34,twitch,jerk,flip,flip
35,SEN,sen,none,none
36,Campbell,campbell,none,none
37,Role,function,character,role
38,Actor,actor,none,none
39,accounting,accountancy,accounting,accounting
40,kittens,kitten,none,none
41,Jesus,jesus,none,none
42,God,god,deity,idol
43,Bible,bible,none,none
44,Loki,loki,none,none
45,Hulk,giant,hulk,loom
46,Thor,thor,none,none
47,Vision,vision,sight,imagination
48,Falcon,falcon,none,none
49,Mantis,mantis,none,none
50,IronMan,iron_man,none,none
51,strippers,stripper,stripper_well,none
52,ebony,coal_black,ebony,ebon
53,ass,buttocks,ass,fuck
54,sexy,aphrodisiac,none,none
55,awesome,amazing,none,none
56,heroin,none,none,none
57,Action,action,military_action,natural_process
58,Oscar,academy_award,none,none
59,Gloucester,gloucester,none,none
60,kayak,none,none,none
61,Angola,angola,none,none
62,crocodiles,crocodile,none,none
63,Bruins,bruin,brown_bear,none
64,Leafs,leaf,flick,none
65,watchmen,watchman,none,none
66,Chile,chile,chili,none
67,Love,love,beloved,none
68,Proverbs,proverbs,proverb,none
69,Russian,russian,none,none
70,Premier,prime_minister,chancellor,premier
71,wimp,weakly_interacting_massive_particle,none,none
72,Hereditary,familial,ancestral,none
73,Hot,hot,none,none
74,Sexy,sexy,aphrodisiac,none
75,Texas,texas,none,none
76,rip,rake,rip,rent
77,highest,high,eminent,none
78,Skyscraper,skyscraper,none,none
79,Raiders,plunderer,raider,none
80,hiring,hire,rent,lease
81,job,occupation,job,none
82,happy,felicitous,glad,happy
83,art,artwork,none,none
84,books,book,record,script
85,Bumblebee,bumblebee,none,none
86,cars,car,cable_car,none
87,motor,drive,centrifugal,centrifugal
88,TOYOTA,toyota,none,none
89,Vip,very_important_person,none,none
90,Cars,car,cable_car,none
91,crime,none,none,none
92,paperback,paperback_book,paperback,none
93,winning,win,acquire,gain
94,maleficent,none,none,none
95,deal,bargain,batch,deal
96,sale,none,none,none
97,character,fictional_character,quality,character
98,cartoon,none,none,none
99,drawing,lottery,drawing,drawing
100,quote,quotation_mark,quotation,quote
101,women,woman,charwoman,womanhood
102,venom,malice,none,none
103,Empire,empire,conglomerate,none
104,music,none,none,none
105,rapper,knocker,none,none
106,film,movie,film,none
107,emissions,emission,discharge,discharge
108,porn,pornography,none,none
109,topless,bare-breasted,none,none
110,blowjob,cock_sucking,none,none
111,hot,none,none,none
112,Macron,macron,none,none
113,Bond,chemical_bond,bond,alliance
114,Special,special,particular,none
115,grateful,none,none,none
116,mom,ma,none,none
117,Elementary,elementary,none,none
118,Maui,maui,none,none
119,Bahai,bahai,none,none
120,MasterMinds,originator,genius,mastermind
121,Hippocrates,hippocrates,none,none
122,Hacking,chop,hack,none
123,cinematographer,cameraman,none,none
124,crybaby,wimp,whiner,none
125,Pynchon,pynchon,none,none
