text,syn,ID
olympics,olympic_games,1
podium,dais,2
cute,cunning,3
winner,achiever,4
awesome,amazing,5
lovely,cover_girl,6
lovely,adorable,7
love,beloved,8
love,sexual_love,9
love,sleep_together,10
jeans,jean,11
jeans,denim,12
beauty,smasher,13
olympic,olympian,14
sky,flip,15
doubles,double,16
doubles,doubling,17
doubles,double_over,18
doubles,duplicate,19
nationals,national,20
hockey,field_hockey,21
hockey,ice_hockey,22
butterfly,chat_up,23
do,bash,24
do,doctor_of_osteopathy,25
do,make,26
do,perform,27
do,cause,28
do,practice,29
do,suffice,30
do,act,31
do,serve,32
do,dress,33
lay,ballad,34
lay,put,35
lay,lie,36
lay,dwell,37
lay,lie_down,38
lay,laic,39
tao,taoist,40
power,ability,41
power,office,42
power,exponent,43
power,might,44
power,world_power,45
power,baron,46
perfection,paragon,47
usa,united_states,48
usa,united_states_army,49
brasil,brazil,50
champion,supporter,51
champion,ace,52
jump,leap,53
jump,startle,54
jump,leap_out,55
jump,rise,56
jump,derail,57
jump,chute,58
jump,jumpstart,59
jump,alternate,60
spin,tailspin,61
spin,whirl,62
jacksons,jackson,63
figure,human_body,64
figure,digit,65
figure,name,66
figure,number,67
figure,trope,68
figure,design,69
figure,calculate,70
figure,visualize,71
ice,frosting,72
ice,methamphetamine,73
ice,internal-combustion_engine,74
ice,ice_rink,75
ice,frost,76
flexibility,tractability,77
skates,skate,78
skating,skate,79
broadcasting,broadcast_medium,80
broadcasting,air,81
broadcasting,broadcast,82
broadcasting,circulate,83
broadcast,air,84
broadcast,circulate,85
television,television_receiver,86
journalist,diarist,87
media,medium,88
media,culture_medium,89
media,metier,90
interview,consultation,91
quad,quadruplet,92
quad,quadriceps,93
gold,amber,94
gold,aureate,95
bath,bathtub,96
bath,bathroom,97
bath,bathe,98
sport,mutant,99
sport,fun,100
sport,frolic,101
gym,gymnasium,102
skeleton,skeletal_system,103
paradise,eden,104
china,taiwan,105
china,chinaware,106
chinese,taiwanese,107
