m_id,imdb_score,meta_score
1,8.1,76
2,7,65
3,7.3,62
4,7.2,59
5,6.2,40
6,6.1,42
7,8.3,93
8,6.4,71
9,7.1,78
10,7,41
11,7.5,66
12,7.8,74
13,7.9,65
14,7.7,81
15,6.4,70
16,6.6,61
17,8.2,71
18,6.7,58
19,8.1,69
20,8,81
21,6.7,49
22,7.9,96
23,6.7,72
24,6.5,56
25,5.3,32
26,6.8,72
27,8.3,72
28,4.7,72
29,6.2,60
30,5.9,36
31,6.3,39
32,7.5,67
33,7.1,52
34,8,65
35,5.6,49
36,7.9,75
37,8.6,74
38,7.6,72
39,6.9,54
40,7.1,72
41,6.3,66
42,7.5,99
43,2.7,72
44,7.2,66
45,6.3,57
46,6.7,45
47,7.3,64
48,5.6,72
49,7.1,68
50,3.7,16
51,8.1,81
52,5.8,23
53,5.6,18
54,7.2,68
55,9,82
56,7.3,79
57,7.2,71
58,7.4,51
59,7,76
60,7.5,74
61,6.7,44
62,6.8,65
63,6.5,48
64,4.1,46
65,8.5,66
66,7.7,58
67,7.4,69
68,8.1,90
69,7.5,61
70,7.2,68
71,5.9,49
72,7.1,60
73,7.5,76
74,6.8,23
75,8.1,78
76,7.1,50
77,8.1,69
78,8.3,69
79,7.3,53
80,5.3,60
81,8.8,74
82,7.9,72
83,8.2,75
84,8.1,79
85,7.2,67
86,7,59
87,6.4,49
88,7.8,83
89,7.8,68
90,7.4,51
91,8.1,74
92,7,32
93,8.1,62
94,7.1,57
95,7.4,66
96,7.4,70
97,8.6,79
98,5.8,62
99,6.3,77
100,8.5,85
101,7,55
102,7,57
103,8,80
104,7.9,72
105,7.3,56
106,7.7,88
107,5.4,40
108,6.3,44
109,5.8,48
110,7.7,78
111,6.3,44
112,8.1,96
113,6.1,65
114,7.7,52
115,8.1,87
116,5.8,42
117,6.2,51
118,8.8,72
119,7.2,76
120,7.4,77
121,6.7,57
122,6.7,48
123,6,51
124,7.4,72
125,8.5,78
126,7.5,77
127,5.7,32
128,6.6,58
129,6.4,51
130,8,76
131,7.3,79
132,6,69
133,6.4,59
134,8.5,88
135,7.1,61
136,7.3,68
137,8.1,91
138,7.3,55
139,8.1,63
140,7.1,44
141,8,82
142,6.2,56
143,7.8,81
144,8.2,86
145,8.4,81
146,8.1,84
147,7.4,77
148,7.6,56
149,7.6,76
150,6.2,42
151,6.4,66
152,7.2,68
153,5.8,65
154,7.6,82
155,8.1,72
156,4.7,29
157,7,64
158,7.4,68
159,7.5,69
160,7.9,81
161,6,40
162,7,63
163,8,74
164,6.1,47
165,8,80
166,5.2,56
167,6.5,46
168,7.3,51
169,7.3,48
170,6.8,60
171,7.9,76
172,7.9,84
173,5.2,59
174,8,90
175,7.5,74
176,6.5,60
177,7.6,79
178,7,71
179,7.4,65
180,7.3,64
181,6.7,59
182,6.8,83
183,7,67
184,5.9,72
185,8,85
186,6,51
187,6.3,53
188,6.6,66
189,7.8,78
190,6.3,75
191,7.2,60
192,5.6,42
193,8.1,93
194,5.8,48
195,8.2,71
196,6.9,66
197,6.3,72
198,8.1,73
199,8.1,73
200,6.3,52
201,7.9,71
202,6.5,47
203,7.3,58
204,7.9,79
205,5.7,33
206,7.8,65
207,7.5,81
208,7.5,90
209,6.8,75
210,6.7,67
211,6.1,43
212,5.3,63
213,7.1,61
214,5.8,49
215,7,54
216,5.5,25
217,7.8,70
218,5.7,41
219,6.1,67
220,7.7,66
221,6.7,51
222,7.1,73
223,6.9,83
224,7.8,71
225,7,44
226,7,79
227,7.1,82
228,6.4,51
229,7,56
230,4.8,35
231,8.2,98
232,5.2,50
233,7.8,68
234,7.4,75
235,6.1,35
236,8,67
237,6.8,81
238,3.9,31
239,8.1,88
240,5.9,35
241,7.6,64
242,8.2,94
243,5.8,48
244,6.5,38
245,5.9,47
246,7.6,63
247,7.9,84
248,7.4,83
249,7.1,75
250,8.6,57
251,4.9,50
252,7.3,73
253,7.9,72
254,6.7,53
255,7.5,68
256,7.8,73
257,5.8,41
258,7.6,68
259,6.4,58
260,7.1,76
261,7.8,88
262,8,79
263,6.2,79
264,7,64
265,6,40
266,4.9,53
267,6,18
268,7.5,55
269,6.7,40
270,3.7,72
271,7.8,81
272,7.9,58
273,7.2,69
274,8,79
275,6.8,72
276,7,54
277,7.1,71
278,7.7,78
279,7,83
280,7.2,62
281,7.3,50
282,7.6,57
283,7.1,72
284,7,66
285,6,47
286,6.1,33
287,5.8,34
288,5.3,40
289,5.8,47
290,6.1,72
291,7.5,72
292,7.2,66
293,5.7,58
294,7.7,72
295,7.1,55
296,6.6,26
297,5.7,34
298,6.8,62
299,7.1,66
300,8.1,92
301,7.2,57
302,7.5,60
303,7,72
304,5.5,55
305,6.4,46
306,6.7,81
307,6.2,34
308,5.5,72
309,6,45
310,6.1,51
311,7.7,53
312,7.8,88
313,6.8,86
314,7.4,59
315,7.5,71
316,7,84
317,5.2,33
318,5.3,72
319,6.2,55
320,7.3,66
321,6.5,48
322,6.4,74
323,7.3,53
324,6.7,53
325,7.7,95
326,6,34
327,6,36
328,7.4,54
329,7,79
330,5.4,51
331,6.9,56
332,7.3,72
333,8,84
334,7.4,86
335,8.1,75
336,6.1,72
337,7.8,81
338,5.9,64
339,7.8,69
340,6.5,31
341,6.6,46
342,7.4,84
343,6.4,52
344,6.8,71
345,6.2,59
346,5.8,35
347,7.7,66
348,7.3,90
349,5.1,47
350,7.7,81
351,7.3,83
352,6.6,56
353,7.1,47
354,6.7,64
355,6.3,42
356,5.5,30
357,7.4,72
358,7.7,72
359,6.6,67
360,7.8,55
361,6.9,51
362,5.7,42
363,7.8,72
364,7.7,73
365,6.3,72
366,8,86
367,5.5,52
368,6.9,72
369,7,66
370,5.7,38
371,6,62
372,6.8,57
373,6.3,36
374,6.7,64
375,6.9,71
376,5.7,33
377,6.9,68
378,7.6,82
379,7.1,64
380,6.1,35
381,7.6,76
382,7.4,57
383,6.6,67
384,7.6,81
385,7.8,83
386,7.1,64
387,5.6,27
388,6.7,53
389,6.7,60
390,6.6,51
391,6.3,63
392,5.8,39
393,7.2,82
394,5,43
395,5.4,19
396,7.2,51
397,6.8,61
398,5.5,23
399,6,31
400,6.1,72
401,6.4,56
402,3.9,71
403,7.1,72
404,7.7,72
405,6.7,29
406,6.7,74
407,7.4,95
408,7.8,71
409,6.6,65
410,6.1,34
411,7.8,50
412,6.5,63
413,7.3,65
414,7.2,89
415,5.6,38
416,5.4,55
417,6.9,85
418,7.8,72
419,7.7,65
420,7.2,72
421,6.8,65
422,5.7,35
423,5.8,45
424,6.2,48
425,5.9,28
426,7.8,70
427,6.5,46
428,8.1,85
429,5.2,55
430,6,72
431,8.4,67
432,4.7,34
433,7,63
434,7.4,73
435,6.4,56
436,7.1,72
437,7.1,33
438,7.6,73
439,6.6,41
440,5.6,63
441,6.3,44
442,7.5,87
443,7.7,80
444,7.4,81
445,6,31
446,6.6,72
447,7.1,59
448,7.9,81
449,7.8,74
450,5.9,53
451,7,57
452,7,49
453,6.8,28
454,6.5,41
455,6.1,36
456,8.3,76
457,6.7,48
458,6,34
459,6.4,33
460,7.3,69
461,7.6,74
462,6,42
463,6.6,63
464,7.5,69
465,6.3,60
466,7.5,48
467,6.4,65
468,6.9,61
469,8,81
470,6.7,64
471,7.8,76
472,6.4,65
473,5.8,49
474,7.5,78
475,7.7,86
476,7.4,54
477,8.5,89
478,5.7,48
479,8.3,71
480,6.7,71
481,7.2,67
482,6.5,47
483,6.3,52
484,7.7,43
485,6.3,72
486,7.8,84
487,6.7,81
488,6.7,34
489,6.6,56
490,8,96
491,6.5,66
492,6.9,53
493,7,64
494,5.3,34
495,6.3,78
496,7.2,65
497,6.8,58
498,7.1,72
499,7.4,34
500,8.3,88
501,6.3,43
502,7.2,95
503,6.5,68
504,7.3,64
505,7.9,63
506,5.7,54
507,6.5,59
508,7.7,76
509,4.3,18
510,7.8,96
511,7.8,55
512,7.2,53
513,5,34
514,7.1,72
515,5.7,60
516,7.1,72
517,6,52
518,6.9,41
519,7.9,66
520,6.2,51
521,7.2,59
522,5.3,48
523,4.7,57
524,6.6,72
525,7,60
526,3.9,61
527,6.6,72
528,5.4,38
529,6.4,62
530,6.7,61
531,6.9,47
532,5.4,59
533,7,72
534,6.4,61
535,7.2,77
536,6.5,39
537,7,50
538,5.7,22
539,7.3,43
540,6.1,72
541,7.2,77
542,7.4,59
543,6.3,39
544,7.1,72
545,5.7,39
546,6.7,76
547,6.8,83
548,6.5,53
549,6.8,68
550,7.9,77
551,5.8,45
552,7.1,79
553,4.3,27
554,6.3,80
555,7.1,33
556,4.6,30
557,7.1,77
558,6.3,40
559,6.9,47
560,6.6,66
561,6.5,45
562,6.5,57
563,6.8,53
564,7.8,72
565,6.1,57
566,5.8,36
567,6.3,42
568,7.5,81
569,6.1,58
570,6.5,55
571,6,39
572,7.1,75
573,7.1,51
574,7.8,80
575,6.8,62
576,5.8,39
577,6.8,58
578,6.8,49
579,7.6,76
580,6.3,57
581,4.9,37
582,4.2,20
583,5.1,36
584,5.7,41
585,7.6,87
586,5.2,35
587,7.2,59
588,6,46
589,7.3,64
590,7.2,69
591,7.8,76
592,6.2,37
593,7.1,69
594,6.4,45
595,6.1,42
596,7.2,79
597,6.6,39
598,6.2,44
599,7.9,67
600,7.3,63
601,6.7,40
602,6.4,66
603,6.4,47
604,7.2,66
605,5.1,90
606,7.4,72
607,7.2,72
608,6.9,57
609,8.1,74
610,7,78
611,6.2,52
612,7.6,93
613,6.7,42
614,7.5,68
615,6.6,66
616,6.3,48
617,4,53
618,6.9,72
619,6.3,52
620,7.3,54
621,7.3,72
622,6.4,39
623,6.6,49
624,5.6,34
625,6,26
626,6.3,43
627,6.7,58
628,6,46
629,6.1,72
630,6.2,47
631,6.7,55
632,6.6,52
633,7,85
634,4.9,94
635,8.4,72
636,7,85
637,7.5,74
638,7.3,58
639,5.6,59
640,6.7,49
641,8,64
642,8.1,77
643,4.8,18
644,7.5,73
645,5.5,72
646,8.2,72
647,6.6,42
648,3.2,57
649,5.3,72
650,5.6,30
651,7.4,83
652,6.4,36
653,6.8,52
654,6.7,68
655,6.4,82
656,7,70
657,7.9,100
658,5.9,31
659,7.7,82
660,6.7,62
661,7,64
662,6.9,55
663,7.7,72
664,6.6,60
665,7.1,88
666,6.6,63
667,5.7,32
668,6.3,48
669,6.5,45
670,8,64
671,6.1,42
672,6.5,41
673,7.6,94
674,5.6,39
675,5.9,50
676,7.2,58
677,6.7,49
678,7.2,44
679,6.5,56
680,7.2,78
681,6.7,64
682,7.5,68
683,6.5,87
684,5.9,33
685,7.7,36
686,8,88
687,7.6,82
688,6.1,35
689,8.3,92
690,7.1,85
691,5.4,39
692,7.8,56
693,6.5,72
694,5.5,39
695,7.9,79
696,8.1,61
697,6.1,72
698,7.3,57
699,7.2,69
700,5.5,44
701,6.5,72
702,7,62
703,7.1,60
704,6.6,53
705,6.5,44
706,5.8,60
707,7.1,72
708,6.5,53
709,7.4,48
710,6.2,50
711,6,35
712,7.6,86
713,7.3,67
714,8.2,80
715,5.8,46
716,6.5,77
717,6.6,38
718,6.2,47
719,5.8,68
720,6.4,68
721,6.7,60
722,7.1,76
723,6,30
724,5.1,47
725,6.2,61
726,6.2,55
727,6.6,63
728,7.6,68
729,6.8,47
730,6.7,76
731,6.3,42
732,7,57
733,6.9,51
734,6.6,46
735,7.7,37
736,7.5,83
737,5.6,68
738,7.1,57
739,5.7,53
740,5.2,31
741,5.4,40
742,6.6,54
743,8.2,80
744,7.6,80
745,6.2,46
746,6.1,44
747,4.6,60
748,5.7,72
749,6.1,65
750,5.9,39
751,7.2,68
752,6.5,61
753,7.9,67
754,6.3,31
755,5,64
756,7.3,72
757,5.2,46
758,6.6,36
759,5.2,72
760,7.8,79
761,7.5,38
762,7.3,68
763,7.3,73
764,6.6,43
765,5.7,41
766,8.2,51
767,6.7,72
768,6.2,65
769,6.3,56
770,5.7,65
771,6.6,58
772,4.5,34
773,8.1,74
774,5.6,36
775,7.3,51
776,6.2,57
777,5.1,35
778,4.7,56
779,4.8,72
780,7.2,72
781,6.9,56
782,6.5,34
783,7.3,45
784,6.5,77
785,6.9,31
786,7.8,83
787,6.8,37
788,4.6,22
789,6.7,44
790,6.4,49
791,6,58
792,6.3,42
793,6.6,56
794,7.8,85
795,6.6,40
796,6.2,50
797,7.3,77
798,7.4,62
799,6.5,57
800,7,81
801,4.3,23
802,7.2,66
803,6.2,59
804,6.2,57
805,6.8,64
806,6,55
807,6.6,50
808,7.1,82
809,6.8,65
810,5.2,30
811,6.7,60
812,6.2,57
813,7,42
814,6.3,54
815,7.8,83
816,7.6,76
817,5.4,27
818,7.6,82
819,5.4,37
820,4.6,63
821,6.9,72
822,6.8,65
823,5.8,32
824,7,72
825,5.8,27
826,5.3,25
827,4.6,72
828,5.3,77
829,7.6,72
830,1.9,15
831,7.2,63
832,6.4,54
833,7.4,76
834,5.7,29
835,6.4,58
836,6.3,24
837,7.5,84
838,5.5,54
839,4.2,23
840,7.8,60
841,6.3,40
842,6.4,74
843,7.1,80
844,7.1,73
845,6.8,69
846,7.3,76
847,6.7,55
848,7.8,49
849,6.3,64
850,7.5,62
851,6.8,48
852,7.4,62
853,6.8,63
854,7.1,70
855,7.6,73
856,5.9,67
857,6.6,49
858,7.5,64
859,6.4,52
860,7.8,63
861,7.2,40
862,8.4,80
863,6.2,54
864,7.1,81
865,6.3,41
866,6.5,46
867,6.9,78
868,6.9,67
869,6.6,51
870,6.9,66
871,7.7,70
872,2.7,45
873,5.4,31
874,7,48
875,6.6,39
876,7,78
877,6.9,59
878,7.3,78
879,5.8,41
880,5.8,37
881,6.9,68
882,7.5,65
883,6.3,42
884,6.9,63
885,6.1,43
886,7.5,69
887,6.8,85
888,6.5,39
889,5.5,53
890,7.7,72
891,3.5,59
892,6.2,72
893,7.1,56
894,5.5,53
895,7.1,46
896,7.1,55
897,7.1,72
898,7.9,64
899,6.5,28
900,5.5,24
901,6.5,64
902,5.6,58
903,6.8,59
904,7.9,76
905,6.2,52
906,6.2,43
907,6.7,63
908,6.9,62
909,6.5,69
910,6.6,70
911,6.4,72
912,4.7,68
913,7.2,74
914,7.2,65
