category,semantic_hashtag
movie_title,TheWhiteCrow 
movie_title,Us 
movie_title,TheBestofEnemies 
movie_title,HowtoTrainYourDragon 
movie_title,Avengers 
movie_title,BeNatural 
movie_title,Shazam 
movie_title,CaptainMarvel 
movie_title,WonderPark 
movie_title,LongShot 
movie_title,UglyDolls 
movie_title,ElChicano 
movie_title,Bolden 
movie_title,PokemonDetectivePikachu 
movie_title,TheHustle 
movie_title,Tolkien 
movie_title,TheBiggestLittleFarm 
movie_title,MySon 
movie_title,TheSilenceofOthers 
movie_title,JohnWick 
movie_title,TheSouvenir 
movie_title,Aladdin 
movie_title,Booksmart 
movie_title,Halston 
movie_title,Godzilla 
TVseries_title,GameOfThrones 
TVseries_title,TheOffice 
TVseries_title,LionKing 
TVseries_title,TheBossBaby 
TVseries_title,ShortyAwards 
TVseries_title,AmyPoehler 
TVseries_title,EasterWeekend 
TVseries_title,LadiesNight 
TVseries_title,FightingWithMyFamily 
TVseries_title,TopEndWedding 
TVseries_title,SpiritRidingFree 
TVseries_title,OnTheBasisOfSex 
TVseries_title,InTheDark 
TVseries_title,AllAmerican 
TVseries_title,WineCountry 
TVseries_title,PeabodyShow 
TVseries_title,HappyTogether 
TVseries_title,TheRookie 
Other_tags,Wahlburgers 
Other_tags,AvengersEndgame 
Other_tags,Coachella 
Other_tags,Bond25 
Other_tags,Empire 
Other_tags,Variety500 
Other_tags,CharliesAngels 
Other_tags,BigLittleLies 
Other_tags,GameofThrones 
Other_tags,WandaVision 
Other_tags,Avengers 
Other_tags,Deadwood 
Other_tags,HerSmell 
Other_tags,TheInvisibleMan 
Other_tags,TheApollo 
Other_tags,Trump 
Other_tags,Tribeca 
Other_tags,Stagecoach 
Other_tags,Deadpool2 
Other_tags,CaptainAmerica 
Other_tags,StarWarsTheForceAwakens 
Other_tags,TheCastleOnSunset 
Other_tags,JohnBelushi 
Other_tags,SteveRogers 
Other_tags,Hollywood 
Other_tags,Marvel 
Other_tags,GameOfThrones 
Other_tags,ParklandShooting 
Other_tags,AfterParkland 
Other_tags,TonyAwards 
Other_tags,EpicGames 
Other_tags,Steam 
Other_tags,SerengetiRules 
Other_tags,NBA 
Other_tags,SacramentoKings 
Other_tags,LukeWalton 
Other_tags,AssassinsCreedUnity 
Other_tags,NotreDame 
Other_tags,TCM 
Other_tags,TheEssentials 
Other_tags,SafeSpaces 
Other_tags,MIBInternational 
Other_tags,TheTwilightZone 
Other_tags,Survivor 
Other_tags,ChicagoFire 
Other_tags,JamesBond 
Other_tags,WhiteCrow 
Other_tags,BBMAs 
Other_tags,MadameX 
Other_tags,Gotham 
Other_tags,Fox 
Other_tags,Thanos 
Other_tags,WHCD 
Other_tags,Tribeca2019 
Other_tags,AllInTheFamily 
Other_tags,Prince 
Other_tags,Riverdale 
Other_tags,Netflix 
Other_tags,DetectivePikachu 
Other_tags,21Bridges 
Other_tags,DaysGone 
Other_tags,AmyPoehler 
Other_tags,StreamingWars 
Other_tags,Bones 
Other_tags,AllAmerican 
Other_tags,InTheDark 
Other_tags,RoswellNM 
Other_tags,The100 
Other_tags,JussieSmollett 
Other_tags,Disney 
Other_tags,THRNews 
Other_tags,TheCurseofLaLlorona 
Other_tags,Conjuring 
Other_tags,FreeBritney 
Other_tags,XMen 
Other_tags,DarkPhoenix 
Other_tags,TheUmbrellaAcademy 
Other_tags,UsMovie 
Other_tags,BlacKkKlansman 
Other_tags,Hellboy 
Other_tags,BOND25 
Other_tags,AMCWTC 
Other_tags,EndgameEve 
Other_tags,Mavel 
Other_tags,AMCTheatres 
Other_tags,JohnWick3 
Other_tags,ToyStory4 
Other_tags,DontSpoilTheEndgame 
Other_tags,TrailerTuesday 
Other_tags,TheBestOfEnemies 
Other_tags,Deadpool 
Other_tags,RyanReynolds 
Other_tags,DiscountTuesdays 
Other_tags,DoraMovie 
Other_tags,After 
Other_tags,BirdsofPrey 
Other_tags,GodzillaMovie 
Other_tags,GeminiMan 
Other_tags,StarWars 
Other_tags,EarthDay 
Other_tags,MissingLink 
Other_tags,TheHustle 
Other_tags,Disneynature 
Other_tags,PENGUINS 
Other_tags,LitteMovie 
Other_tags,AngryBirdsMovie2 
Other_tags,BreakthroughMovie 
Other_tags,LittleMovie 
Other_tags,EasterWeekend 
Other_tags,LadiesNight 
Other_tags,SHAZAM 
Other_tags,LaLlorona 
Other_tags,TeenSpirit 
Other_tags,BreatkthroughMovie 
Other_tags,TheLionKing 
Other_tags,RoadToEndgame 
Other_tags,AvengerEndgame 
Other_tags,SalemsLot 
Other_tags,NightmareAlley 
