Num,ID,Created_at,Fav,retweets,text,media1,media2,media3,media4,compund,neg,neu,pos
1,968619985479307265,2018-02-27 22:52:55,270,25,Baynes may have had a little too much fun ? https://t.co/vKYRh6rFmi,N/A,N/A,N/A,N/A,0.4654,0,0.725,0.275
2,968615426434523138,2018-02-27 22:34:48,351,48,Students who rose to the challenge to step their game up in the classroom were rewarded with open gym time today at the C?s facility. ??  #CelticsAssist https://t.co/mLazGWziji,http://pbs.twimg.com/media/DXE2M1-WsAUNLv3.jpg,http://pbs.twimg.com/media/DXE2M12WAAAebw0.jpg,N/A,N/A,0.5423,0,0.852,0.14800000000000002
3,968550995759378433,2018-02-27 18:18:46,117,18,"Last chance! Want to fly on the team plane to see the #Celtics play in Portland? Enter the Charmed by Travel Sweepstakes presented by @alexandani ?
https://t.co/EAEMKv2V0U https://t.co/e6K57GluIu",http://pbs.twimg.com/media/DXD7_ycWAAAotzl.jpg,N/A,N/A,N/A,0.7901,0,0.7190000000000001,0.281
4,968534958565294080,2018-02-27 17:15:03,2091,598,Ever wonder what Kyrie's thinking when he puts defenders on skates? ?? https://t.co/H2Kf3KL8Wm,https://video.twimg.com/amplify_video/968525815301500933/vid/1280x720/z4MCNkVhttW6s1d3.mp4,N/A,N/A,N/A,0.0772,0,0.902,0.098
5,968523420458680326,2018-02-27 16:29:12,403,68,"After hearing that a 4-month-old baby was in need of a liver transplant, @USArmy Vet. &amp; current NH Police Officer, Steve Tenney, donated 20% of his liver to save a baby that he had never met. ? for our @MAStateLottery #HeroAmongUs! https://t.co/WF9XrK6NxJ",http://pbs.twimg.com/media/DXDi6sbWAAA9DBn.jpg,N/A,N/A,N/A,0.8139,0,0.8290000000000001,0.171
6,968514833711710208,2018-02-27 15:55:05,380,96,"OTD in 1959, Cousy &amp; the C's scored the most points ever in a non-OT NBA game. https://t.co/mBHtJWZ4oN",https://video.twimg.com/amplify_video/968512327472566272/vid/1280x720/CH0mM3Okum4pNZZv.mp4,N/A,N/A,N/A,0,0,1,0
7,968382569061474304,2018-02-27 7:09:30,393,57,"""We're playing consistent again. We've gotta keep doing this."" ?�@dtheis10  likes what he's seen from our defense since the break, and believes we're turning it back on at just the right time: https://t.co/n2S2xnbAOo",N/A,N/A,N/A,N/A,0.6249,0,0.831,0.16899999999999998
8,968351936482299904,2018-02-27 5:07:47,460,79,What has gotten into the team following the All-Star break? Find out here. https://t.co/Sw09cRNnja,https://video.twimg.com/amplify_video/968351085349036032/vid/1280x720/DQ2v1jgxlkUJMXtw.mp4,N/A,N/A,N/A,0,0,1,0
9,968324722881650688,2018-02-27 3:19:39,224,44,Aron Baynes talks about getting back to playing and the team?s new mindset coming out of All-Star break after tonight?s win. https://t.co/DAd2oJ4m3i,https://video.twimg.com/ext_tw_video/968324493927239680/pu/vid/1280x720/Mq8Hno6Z5VEB4suX.mp4,N/A,N/A,N/A,0.6808,0,0.7809999999999999,0.21899999999999997
10,968323709076475904,2018-02-27 3:15:37,636,125,"That's three Ws in a row, and tonight's came in blowout fashion: https://t.co/WVP7aMjldu",N/A,N/A,N/A,N/A,0,0,1,0
