PlayerID,Name,youID,title,pub_date,channelId,description,channelTitle,liveBroadcastContent
1,AJ Price,PRiPZlZj7j0,AJ  Price - Priceless MIX by MISIEK,2011-06-27T11:42:00.000Z,UCQce-JnV10S_KHm6UedOPAw,"MY MIX FROM MISIEK MOVIE SHOW footage from 2009 to 2011 ""There is absolutely no copyright infringement intended what so ever. All the contents in the ...",TheKingMisiek,none
2,Aaron Brooks,ZFy11Oap9c8,Junior FS 170 Finals - Trent Hidlay (PA) vs. Aaron Brooks (MD),2017-07-21T14:08:36.000Z,UCXmtjT8iO5BaMDvKOxcvgWw,,USA Wrestling,none
3,Aaron Gordon,5-wQmwO3Cog,Aaron Gordon&#39;s Best Plays From the 2018-19 NBA Regular Season,2019-04-16T21:00:01.000Z,UCWJ2lWNubArHWmf3FIHbfcQ,"Check out the best plays from Aaron Gordon during the 2018-19 NBA regular season. Subscribe to the NBA: http://bit.ly/2rCglzY For news, stories, highlights and ...",NBA,none
4,Adreian Payne,QeJShYxDoxM,Entretien avec Adreian PAYNE dans l&#39;Ã©mission Buzzer sur RMC Sport 2,2019-03-26T10:52:31.000Z,UCI1Q8wU2aWLmy0yaPWwx48w,,ASVEL TV,none
5,Al Horford,XufDCIpWRrY,"Al Horford Full Highlights 2019.04.01 Celtics vs Heat - 19 Pts, 10 Rebs, 10 Asts! | FreeDawkins",2019-04-02T05:40:58.000Z,UCEjOSbbaOfgnfRODEEMYlCw,"April 1, 2019 | Al Horford Full Highlights 2019.04.01 Celtics vs Heat - 19 Pts, 10 Rebs, 10 Asts! FreeDawkins - NBA Video' _ Like And Subscribe For More!",FreeDawkins,none
6,Al Jefferson,xJac6M1nCrI,What Happened To Al Jefferson&#39;s NBA Career?,2018-05-02T21:21:45.000Z,UCbz_LB6vGKahwEjZxks0sNQ,"Al Jefferson's career had taken an extreme turn for the worst. He's only averaging 7 points and about 4 rebounds, which is a shell of the man we saw 3 years ago ...",SWISHOUT,none
7,Alan Anderson,wFTVAAiOFnM,Alan Anderson Brooklyn Nets 2015 Season Highlights,2015-09-28T01:02:44.000Z,UCvUjKLQXdHo-rkWQobE1wnQ,I Do Not Own These Highlights I Just Uploaded Them For People To See And Have A Good Time Watching It. It;s The Man Who BROKE My Heart When I Was ...,Badmuun Productions,none
8,Alec Burks,5Kyv-DGTqUI,"Alec Burks Cavs DEBUT 2018.11.30 vs Celtics - 15 Pts, 6 Rebs, 4 Asts! | FreeDawkins",2018-12-01T18:46:10.000Z,UCEjOSbbaOfgnfRODEEMYlCw,"November 30 , 2018 | Alec Burks Cavs DEBUT vs Celtics - 15 Pts, 6 Rebs, 4 Asts! FreeDawkins - NBA Video' --Like And Subscribe For More! Follow me on ...",FreeDawkins,none
9,Alex Kirk,giN4zVxo9as,Cavs rookie Alex Kirk posts back-to-back 21-point games for the Canton Charge,2014-12-08T16:38:42.000Z,UCpGimyrbwRtrcJ-CIiRDXbA,"Highlights of Cavaliers rookie Alex Kirk on his NBA D-League assignment with the Canton Charge, Dec. 5 & 6 The NBA Development League, the NBA's official ...",nbagleague,none
10,Alex Len,eGUlJ2nFtd8,"Alex Len Career-High 33 Pts, 8 Rebs, 4 Asts, 6 Threes | April 7, 2019 vs Bucks | FreeDawkins",2019-04-08T01:34:30.000Z,UCEjOSbbaOfgnfRODEEMYlCw,"Alex Len Career-High 33 Pts, 8 Rebs, 4 Asts, 6 Threes | April 7, 2019 vs Bucks | FreeDawkins - NBA Video' _ Like And Subscribe For More! _ Follow me on ...",FreeDawkins,none
11,Alexey Shved,ziNcMqc5trk,"Alexey Shved PHI, HOU &amp; NYK 2015 Season Highlights",2015-07-11T12:49:17.000Z,UCIgm2X3RWGeei2UrFjNjuxw,"èª_Alexey Shved PHI, HOU & NYK 2015 Season Highlights Like me on facebook:https://www.facebook.com/pages/1677091-Productions/1431807200414603 ...",1677091 Productions,none
